Rank,Release Group,Worldwide,Domestic,%,Foreign,%.1,filename,year,Domestic %,Foreign %
284,The Wolverine,414828246,132556852,32%,282271394,68%,2013.csv,2013,0.3195463502743253,0.6804536497256747
285,Kingsman: The Secret Service,414351546,128261724,31%,286089822,69%,2015.csv,2015,0.3095480763573644,0.6904519236426355
286,Night at the Museum: Battle of the Smithsonian,413106170,177243721,42.9%,235862449,57.1%,2009.csv,2009,0.4290512557582957,0.5709487442417043
287,Pacific Rim,411002906,101802906,24.8%,309200000,75.2%,2013.csv,2013,0.24769388370212642,0.7523061162978736
288,Kingsman: The Golden Circle,410902662,100234838,24.4%,310667824,75.6%,2017.csv,2017,0.24393815681826855,0.7560618431817314
289,Sing 2,409753307,162790990,39.7%,246962317,60.3%,2021.csv,2021,0.3972902407838285,0.6027097592161715
290,The Mummy,409231607,80227895,19.6%,329003712,80.4%,2017.csv,2017,0.196045206742792,0.803954793257208
291,Ice Age 5: Collision Course,408579038,64063008,15.7%,344516030,84.3%,2016.csv,2016,0.15679465180981703,0.843205348190183
292,Signs,408247917,227966634,55.8%,180281283,44.2%,2002.csv,2002,0.5584024425040728,0.44159755749592716
293,X2: X-Men United,407711549,214949694,52.7%,192761855,47.3%,2003.csv,2003,0.5272102164562427,0.4727897835437573
294,Twilight,407187715,192769854,47.3%,214417861,52.7%,2008.csv,2008,0.47341765701354716,0.5265823429864528
295,Alita: Battle Angel,404980543,85838210,21.2%,319142333,78.8%,2019.csv,2019,0.21195638033405473,0.7880436196659453
296,The Mummy: Tomb of the Dragon Emperor,403449830,102491776,25.4%,300958054,74.6%,2008.csv,2008,0.2540384661954127,0.7459615338045873
297,Prometheus,403354469,126477084,31.4%,276877385,68.6%,2012.csv,2012,0.3135631156227502,0.6864368843772498
298,Eternals,402064899,164870234,41%,237194665,59%,2021.csv,2021,0.41005876019035425,0.5899412398096457
299,Uncharted,401108106,148008106,36.9%,253100000,63.1%,2022.csv,2022,0.3689980426374131,0.6310019573625869
300,Fantastic Beasts: The Secrets of Dumbledore,400784813,95484813,23.8%,305300000,76.2%,2022.csv,2022,0.2382445888736807,0.7617554111263193
301,Dune,400671789,108327830,27%,292343959,73%,2021.csv,2021,0.2703655035718025,0.7296344964281974
302,TRON: Legacy,400062763,172062763,43%,228000000,57%,2010.csv,2010,0.4300894232438224,0.5699105767561776
303,Mission: Impossible III,398479497,134029801,33.6%,264449696,66.4%,2006.csv,2006,0.33635306711903423,0.6636469328809658
304,Snow White and the Huntsman,396592829,155332381,39.2%,241260448,60.8%,2012.csv,2012,0.39166714484391246,0.6083328551560876
305,Mamma Mia! Here We Go Again,395044706,120634935,30.5%,274409771,69.5%,2018.csv,2018,0.3053703369967449,0.6946296630032551
306,Solo: A Star Wars Story,392924807,213767512,54.4%,179157295,45.6%,2018.csv,2018,0.5440417815106289,0.4559582184893712
307,Sonic the Hedgehog 2,392750557,188250557,47.9%,204500000,52.1%,2022.csv,2022,0.4793132782240714,0.5206867217759287
308,The Wolf of Wall Street,392000694,116900694,29.8%,275100000,70.2%,2013.csv,2013,0.2982155281592435,0.7017844718407565
309,Superman Returns,391081192,200081192,51.2%,191000000,48.8%,2006.csv,2006,0.5116103665757468,0.48838963342425323
310,Independence Day: Resurgence,389681935,103144286,26.5%,286537649,73.5%,2016.csv,2016,0.26468839516514925,0.7353116048348508
311,Live Free or Die Hard,388156011,134529403,34.7%,253626608,65.3%,2007.csv,2007,0.34658590666524547,0.6534140933347545
312,Monster Hunt,387053506,32766,<0.1%,387020740,100%,2015.csv,2015,8.465496240718718e-05,0.9999153450375928
313,Godzilla: King of the Monsters,386600138,110500138,28.6%,276100000,71.4%,2019.csv,2019,0.2858253971963145,0.7141746028036855
314,Home,386041607,177397510,46%,208644097,54%,2015.csv,2015,0.45952950869360565,0.5404704913063944
315,Star Trek,385680446,257730019,66.8%,127950427,33.2%,2009.csv,2009,0.6682475652395403,0.3317524347604597
316,1917,384919389,159227644,41.4%,225691745,58.6%,2019.csv,2019,0.4136649089401937,0.5863350910598063
317,Happy Feet,384335608,198000317,51.5%,186335291,48.5%,2006.csv,2006,0.515175572803028,0.48482442719697205
318,Cars 3,383930656,152901115,39.8%,231029541,60.2%,2017.csv,2017,0.3982519046356121,0.6017480953643879
319,Ice Age,383257136,176387405,46%,206869731,54%,2002.csv,2002,0.4602325395449388,0.5397674604550612
320,Fifty Shades Darker,381545846,114581250,30%,266964596,70%,2017.csv,2017,0.3003079477898444,0.6996920522101556
321,Monsters vs. Aliens,381509870,198351526,52%,183158344,48%,2009.csv,2009,0.5199119121085911,0.48008808789140894
322,Black Widow,379751655,183651655,48.4%,196100000,51.6%,2021.csv,2021,0.4836098870984512,0.5163901129015488
323,Godzilla,379014294,136314294,36%,242700000,64%,1998.csv,1998,0.3596547575063224,0.6403452424936775
324,Slumdog Millionaire,378410113,141319928,37.3%,237090185,62.7%,2008.csv,2008,0.37345705927262046,0.6265429407273796
325,Taken 2,376141306,139854287,37.2%,236287019,62.8%,2012.csv,2012,0.3718131584304118,0.6281868415695883
326,G.I. Joe: Retaliation,375740705,122523060,32.6%,253217645,67.4%,2013.csv,2013,0.3260840743884802,0.6739159256115198
327,Spider-Man: Into the Spider-Verse,375540831,190241310,50.7%,185299521,49.3%,2018.csv,2018,0.5065795628491859,0.49342043715081413
328,Mad Max: Fury Road,374736354,153636354,41%,221100000,59%,2015.csv,2015,0.4099851865453118,0.5900148134546882
329,Shark Tale,374583879,160861908,42.9%,213721971,57.1%,2004.csv,2004,0.42944162047080514,0.5705583795291949
330,Once Upon a Time... In Hollywood,374375059,142502728,38.1%,231872331,61.9%,2019.csv,2019,0.3806416174748436,0.6193583825251564
331,What Women Want,374111707,182811707,48.9%,191300000,51.1%,2000.csv,2000,0.4886554031307018,0.5113445968692982
332,The Adventures of Tintin,373993951,77591831,20.7%,296402120,79.3%,2011.csv,2011,0.20746814431766036,0.7925318556823396
333,Penguins of Madagascar,373515621,83850911,22.4%,289664710,77.6%,2014.csv,2014,0.22449104210289508,0.775508957897105
334,X-Men Origins: Wolverine,373062864,179883157,48.2%,193179707,51.8%,2009.csv,2009,0.48217920988243956,0.5178207901175604
335,The Golden Compass,372234864,70107728,18.8%,302127136,81.2%,2007.csv,2007,0.188342723318899,0.811657276681101
336,Fifty Shades Freed,371985018,100407760,27%,271577258,73%,2018.csv,2018,0.26992420431298125,0.7300757956870187
337,Batman Begins,371853783,205343774,55.2%,166510009,44.8%,2005.csv,2005,0.552216444709398,0.44778355529060193
338,Hitch,371594210,179495555,48.3%,192098655,51.7%,2005.csv,2005,0.48304185094810814,0.5169581490518919
339,Terminator Salvation,371353001,125322469,33.7%,246030532,66.3%,2009.csv,2009,0.33747530964479805,0.6625246903552019
340,Captain America: The First Avenger,370569774,176654505,47.7%,193915269,52.3%,2011.csv,2011,0.4767105074252494,0.5232894925747505
341,Edge of Tomorrow,370541256,100206256,27%,270335000,73%,2014.csv,2014,0.2704321162013873,0.7295678837986127
342,There's Something About Mary,369884651,176484651,47.7%,193400000,52.3%,1998.csv,1998,0.47713429179303796,0.5228657082069621
343,Gone Girl,369330363,167767189,45.4%,201563174,54.6%,2014.csv,2014,0.4542469447604014,0.5457530552395986
344,Jurassic Park III,368780809,181171875,49.1%,187608934,50.9%,2001.csv,2001,0.49127251358679025,0.5087274864132098
345,My Big Fat Greek Wedding,368744044,241438208,65.5%,127305836,34.5%,2002.csv,2002,0.6547582582784713,0.34524174172152866
346,Hello Mr. Billionaire,366961907,0,-,366961907,100%,2018.csv,2018,0.0,1.0
347,Shazam!,365971656,140371656,38.4%,225600000,61.6%,2019.csv,2019,0.3835588185550632,0.6164411814449369
348,The Nun,365550119,117450119,32.1%,248100000,67.9%,2018.csv,2018,0.32129689718415877,0.6787031028158412
349,Alvin and the Chipmunks,365352546,217326974,59.5%,148025572,40.5%,2007.csv,2007,0.5948418216305519,0.4051581783694481
350,Tenet,363704105,58504105,16.1%,305200000,83.9%,2020.csv,2020,0.16085632302665376,0.8391436769733462
351,A Bug's Life,363258859,162798565,44.8%,200460294,55.2%,1998.csv,1998,0.4481613069208038,0.5518386930791962
352,Night at the Museum: Secret of the Tomb,363204635,113746621,31.3%,249458014,68.7%,2014.csv,2014,0.313175025973994,0.6868249740260061
353,Ocean's Twelve,362744280,125544280,34.6%,237200000,65.4%,2004.csv,2004,0.34609582265501193,0.6539041773449881
354,Planet of the Apes,362211740,180011740,49.7%,182200000,50.3%,2001.csv,2001,0.4969793082907804,0.5030206917092196
355,The Hangover Part III,362000072,112200072,31%,249800000,69%,2013.csv,2013,0.3099448886297459,0.6900551113702541
356,Monster Hunt 2,361682618,706153,0.2%,360976465,99.8%,2018.csv,2018,0.0019524106629862981,0.9980475893370137
357,Fast & Furious,360364265,155064265,43%,205300000,57%,2009.csv,2009,0.43029867292751683,0.5697013270724832
358,Noah,359200044,101200044,28.2%,258000000,71.8%,2014.csv,2014,0.28173728174710355,0.7182627182528964
359,The Karate Kid,359126022,176591618,49.2%,182534404,50.8%,2010.csv,2010,0.4917260437340294,0.5082739562659706
360,Hotel Transylvania,358375603,148313048,41.4%,210062555,58.6%,2012.csv,2012,0.4138480598524448,0.5861519401475552
361,Minority Report,358372926,132072926,36.9%,226300000,63.1%,2002.csv,2002,0.3685348875936013,0.6314651124063987
362,Your Name.,357986087,5017246,1.4%,352968841,98.6%,2016.csv,2016,0.014015198305737508,0.9859848016942625
363,The Legend of Tarzan,356700357,126643061,35.5%,230057296,64.5%,2016.csv,2016,0.3550404660794887,0.6449595339205113
364,American Beauty,356296601,130096601,36.5%,226200000,63.5%,1999.csv,1999,0.3651356780695194,0.6348643219304806
365,The Great Gatsby,353641895,144840419,41%,208801476,59%,2013.csv,2013,0.40956804340164504,0.5904319565983549
366,Dumbo,353284621,114766307,32.5%,238518314,67.5%,2019.csv,2019,0.32485508900768145,0.6751449109923185
367,"I, Robot",353133898,144801023,41%,208332875,59%,2004.csv,2004,0.4100456620564928,0.5899543379435072
368,Murder on the Orient Express,352789811,102826543,29.1%,249963268,70.9%,2017.csv,2017,0.29146687289106543,0.7085331271089346
369,X-Men: First Class,352616690,146408305,41.5%,206208385,58.5%,2011.csv,2011,0.41520526155469273,0.5847947384453073
370,The Angry Birds Movie,352333929,107509366,30.5%,244824563,69.5%,2016.csv,2016,0.3051348653964007,0.6948651346035993
371,Catch Me If You Can,352114312,164615351,46.8%,187498961,53.2%,2002.csv,2002,0.4675054247723961,0.5324945752276039
372,Now You See Me,351723989,117723989,33.5%,234000000,66.5%,2013.csv,2013,0.3347056006464205,0.6652943993535795
373,Hannibal,351692268,165092268,46.9%,186600000,53.1%,2001.csv,2001,0.46942251229702897,0.5305774877029711
374,Peter Rabbit,351266433,115253424,32.8%,236013009,67.2%,2018.csv,2018,0.3281082767165515,0.6718917232834485
375,Titanic 2012 3D Release,350449521,57884114,16.5%,292565407,83.5%,2012.csv,2012,0.16517104613191924,0.8348289538680808
376,Dinosaur,349822765,137748063,39.4%,212074702,60.6%,2000.csv,2000,0.39376529140406286,0.6062347085959372
377,Mary Poppins Returns,349537494,171958438,49.2%,177579056,50.8%,2018.csv,2018,0.4919599211865952,0.5080400788134047
378,The Lorax,348840316,214030500,61.4%,134809816,38.6%,2012.csv,2012,0.6135486358176558,0.3864513641823441
379,The Maze Runner,348319861,102427862,29.4%,245891999,70.6%,2014.csv,2014,0.2940626517992323,0.7059373482007677
380,The Smurfs 2,347545360,71017784,20.4%,276527576,79.6%,2013.csv,2013,0.2043410506185437,0.7956589493814563
381,National Treasure,347512318,173008894,49.8%,174503424,50.2%,2004.csv,2004,0.4978496733459675,0.5021503266540325
