Rank,Release Group,Worldwide,Domestic,%,Foreign,%.1,filename,year,Domestic %,Foreign %
1053,"Crazy, Stupid, Love.",145051197,84351197,58.2%,60700000,41.8%,2011.csv,2011,0.5815270659227997,0.4184729340772003
1054,The Santa Clause,144833357,144833357,100%,0,-,1994.csv,1994,1.0,0.0
1055,Lethal Weapon 3,144731527,144731527,100%,0,-,1992.csv,1992,1.0,0.0
1056,PAW Patrol: The Movie,144327371,40127371,27.8%,104200000,72.2%,2021.csv,2021,0.27803022200134164,0.7219697779986584
1057,Herbie Fully Loaded,144146816,66023816,45.8%,78123000,54.2%,2005.csv,2005,0.4580317334237893,0.5419682665762108
1058,The Beach,144056873,39785027,27.6%,104271846,72.4%,2000.csv,2000,0.2761758336931276,0.7238241663068724
1059,Pete's Dragon,143695338,76233151,53.1%,67462187,46.9%,2016.csv,2016,0.5305193060612725,0.4694806939387275
1060,Garfield: A Tail of Two Kitties,143325970,28426747,19.8%,114899223,80.2%,2006.csv,2006,0.19833633081290153,0.8016636691870985
1061,The Invisible Man,143151000,70410000,49.2%,72741000,50.8%,2020.csv,2020,0.49185824758471824,0.5081417524152818
1062,Spy Game,143049560,62362560,43.6%,80687000,56.4%,2001.csv,2001,0.435950729243767,0.564049270756233
1063,More Than Blue,142958164,722669,0.5%,142235495,99.5%,2018.csv,2018,0.005055108290282743,0.9949448917097172
1064,Meet Joe Black,142940100,44619100,31.2%,98321000,68.8%,1998.csv,1998,0.3121524330821092,0.6878475669178907
1065,Paranormal Activity 4,142802657,53885000,37.7%,88917657,62.3%,2012.csv,2012,0.3773389174404507,0.6226610825595493
1066,The Legend of Zorro,142400065,46464023,32.6%,95936042,67.4%,2005.csv,2005,0.32629214740878104,0.673707852591219
1067,Power Rangers,142337240,85364450,60%,56972790,40%,2017.csv,2017,0.5997337731151735,0.4002662268848265
1068,New Year's Eve,142044638,54544638,38.4%,87500000,61.6%,2011.csv,2011,0.3839964589159641,0.6160035410840359
1069,Onward,141940042,61555145,43.4%,80384897,56.6%,2020.csv,2020,0.43367004921697855,0.5663299507830215
1070,Monster House,141861243,73661010,51.9%,68200233,48.1%,2006.csv,2006,0.519246895362393,0.48075310463760706
1071,Legally Blonde,141774679,96520674,68.1%,45254005,31.9%,2001.csv,2001,0.6808033330126602,0.31919666698733984
1072,The Taking of Tiger Mountain,141654055,228984,0.2%,141425071,99.8%,2014.csv,2014,0.0016165015537324364,0.9983834984462676
1073,Gothika,141591324,59694580,42.2%,81896744,57.8%,2003.csv,2003,0.42159772444814486,0.5784022755518552
1074,Pocahontas,141579773,141579773,100%,0,-,1995.csv,1995,1.0,0.0
1075,Big Momma's House 2,141522961,70165972,49.6%,71356989,50.4%,2006.csv,2006,0.495792142166952,0.504207857833048
1076,A Few Good Men,141340178,141340178,100%,0,-,1992.csv,1992,1.0,0.0
1077,Mona Lisa Smile,141337989,63860942,45.2%,77477047,54.8%,2003.csv,2003,0.4518314039405216,0.5481685960594784
1078,Scary Movie 2,141220678,71308997,50.5%,69911681,49.5%,2001.csv,2001,0.5049472783298774,0.49505272167012254
1079,Shallow Hal,141069860,70839203,50.2%,70230657,49.8%,2001.csv,2001,0.5021568958812321,0.4978431041187678
1080,The Rugrats Movie,140894675,100494675,71.3%,40400000,28.7%,1998.csv,1998,0.7132609873297199,0.2867390126702801
1081,Trainwreck,140795793,110212700,78.3%,30583093,21.7%,2015.csv,2015,0.7827840424180856,0.2172159575819144
1082,Sausage Party,140705322,97685686,69.4%,43019636,30.6%,2016.csv,2016,0.6942572221966131,0.3057427778033869
1083,Deep Impact,140694752,140464664,99.8%,230088,0.2%,1998.csv,1998,0.9983646298335278,0.0016353701664721652
1084,Girls Trip,140552359,115171585,81.9%,25380774,18.1%,2017.csv,2017,0.8194212165446473,0.18057878345535275
1085,Step Up Revolution,140470746,35074677,25%,105396069,75%,2012.csv,2012,0.24969381881121355,0.7503061811887864
1086,Lion,140312928,51738905,36.9%,88574023,63.1%,2016.csv,2016,0.3687394008341127,0.6312605991658873
1087,The SpongeBob SquarePants Movie,140192993,85417988,60.9%,54775005,39.1%,2004.csv,2004,0.6092885683666087,0.3907114316333913
1088,Legend of the Guardians: The Owls of Ga'Hoole,140073390,55675313,39.7%,84398077,60.3%,2010.csv,2010,0.3974724464082721,0.6025275535917278
1089,Scream,140041405,81641405,58.3%,58400000,41.7%,2022.csv,2022,0.582980476381253,0.4170195236187469
1090,The Wolfman,139789765,61979680,44.3%,77810085,55.7%,2010.csv,2010,0.4433778109577622,0.5566221890422378
1091,Sister Act,139605150,139605150,100%,0,-,1992.csv,1992,1.0,0.0
1092,Saw IV,139352633,63300095,45.4%,76052538,54.6%,2007.csv,2007,0.4542439826020367,0.5457560173979633
1093,Mr. Six,139191345,1415450,1%,137775895,99%,2015.csv,2015,0.010169094924688026,0.989830905075312
1094,Brüno,138805831,60054530,43.3%,78751301,56.7%,2009.csv,2009,0.4326513487751102,0.5673486512248899
1095,Good Will Hunting,138433435,138433435,100%,0,-,1997.csv,1997,1.0,0.0
1096,The Admiral: Roaring Currents,138342258,2589811,1.9%,135752447,98.1%,2014.csv,2014,0.018720317547513212,0.9812796824524868
1097,America's Sweethearts,138307673,93607673,67.7%,44700000,32.3%,2001.csv,2001,0.676807518842429,0.32319248115757104
1098,Star Wars 1997 Special Edition,138257865,138257865,100%,0,-,1997.csv,1997,1.0,0.0
