Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Jurassic Park,"$978,167,947","$357,067,947",36.5%,"$621,100,000",63.5%
2,Mrs. Doubtfire,"$219,195,243","$219,195,243",100%,-,-
3,The Fugitive,"$183,875,760","$183,875,760",100%,-,-
4,The Firm,"$158,348,367","$158,348,367",100%,-,-
5,Sleepless in Seattle,"$126,680,884","$126,680,884",100%,-,-
6,Indecent Proposal,"$106,614,059","$106,614,059",100%,-,-
7,In the Line of Fire,"$102,314,823","$102,314,823",100%,-,-
8,The Pelican Brief,"$100,768,056","$100,768,056",100%,-,-
9,Schindler's List,"$96,065,768","$96,065,768",100%,-,-
10,Cliffhanger,"$84,049,211","$84,049,211",100%,-,-
11,Free Willy,"$77,698,625","$77,698,625",100%,-,-
12,Philadelphia,"$77,446,440","$77,446,440",100%,-,-
13,Groundhog Day,"$70,906,973","$70,906,973",100%,-,-
14,Grumpy Old Men,"$70,172,621","$70,172,621",100%,-,-
15,Cool Runnings,"$68,856,263","$68,856,263",100%,-,-
16,Dave,"$63,270,710","$63,270,710",100%,-,-
17,Rising Sun,"$63,179,523","$63,179,523",100%,-,-
18,Demolition Man,"$58,055,768","$58,055,768",100%,-,-
19,Sister Act 2: Back in the Habit,"$57,319,029","$57,319,029",100%,-,-
20,Tombstone,"$56,505,065","$56,505,065",100%,-,-
21,The Three Musketeers,"$53,898,845","$53,898,845",100%,-,-
22,Rookie of the Year,"$53,615,089","$53,615,089",100%,-,-
23,Beethoven's 2nd,"$53,443,066","$53,443,066",100%,-,-
24,Dennis the Menace,"$51,270,765","$51,270,765",100%,-,-
25,Sommersby,"$50,081,992","$50,081,992",100%,-,-
26,Last Action Hero,"$50,016,394","$50,016,394",100%,-,-
27,The Nightmare Before Christmas,"$50,003,043","$50,003,043",100%,-,-
28,Addams Family Values,"$48,919,043","$48,919,043",100%,-,-
29,Malice,"$46,405,336","$46,405,336",100%,-,-
30,Made in America,"$44,942,695","$44,942,695",100%,-,-
31,The Good Son,"$44,789,789","$44,789,789",100%,-,-
32,The Beverly Hillbillies,"$44,029,386","$44,029,386",100%,-,-
33,Teenage Mutant Ninja Turtles III,"$42,273,609","$42,273,609",100%,-,-
34,Homeward Bound: The Incredible Journey,"$41,833,324","$41,833,324",100%,-,-
35,Snow White and the Seven Dwarfs 1993 Re-release,"$41,634,471","$41,634,471",100%,-,-
36,Falling Down,"$40,903,593","$40,903,593",100%,-,-
37,The Piano,"$40,157,856","$40,157,856",100%,-,-
38,Hocus Pocus,"$39,514,713","$39,514,713",100%,-,-
39,What's Love Got to Do with It,"$39,100,956","$39,100,956",100%,-,-
40,Hot Shots! Part Deux,"$38,922,972","$38,922,972",100%,-,-
41,Carlito's Way,"$36,948,322","$36,948,322",100%,-,-
42,Alive,"$36,733,909","$36,733,909",100%,-,-
