Rank,Release Group,Worldwide,Domestic,%,Foreign,%
43,Son in Law,"$36,448,400","$36,448,400",100%,-,-
44,Sliver,"$36,300,000","$36,300,000",100%,-,-
45,Robin Hood: Men in Tights,"$35,739,755","$35,739,755",100%,-,-
46,Dragon: The Bruce Lee Story,"$35,113,743","$35,113,743",100%,-,-
47,The Joy Luck Club,"$32,901,136","$32,901,136",100%,-,-
48,Hard Target,"$32,589,677","$32,589,677",100%,-,-
49,The Sandlot,"$32,434,006","$32,434,006",100%,-,-
50,The Age of Innocence,"$32,255,440","$32,255,440",100%,-,-
51,Cop & ½,"$31,889,691","$31,889,691",100%,-,-
52,The Secret Garden,"$31,181,347","$31,181,347",100%,-,-
53,A Perfect World,"$31,130,999","$31,130,999",100%,-,-
54,Point of No Return,"$30,038,362","$30,038,362",100%,-,-
55,Loaded Weapon 1,"$27,979,399","$27,979,399",100%,-,-
56,Menace II Society,"$27,912,072","$27,912,072",100%,-,-
57,My Life,"$27,804,899","$27,804,899",100%,-,-
58,Poetic Justice,"$27,515,786","$27,515,786",100%,-,-
59,Shadowlands,"$25,842,377","$25,842,377",100%,-,-
60,In the Name of the Father,"$25,096,862","$25,096,862",100%,-,-
61,The Man Without a Face,"$24,760,338","$24,760,338",100%,-,-
62,Striking Distance,"$24,107,867","$24,107,867",100%,-,-
63,The Adventures of Huck Finn,"$24,103,594","$24,103,594",100%,-,-
64,Benny & Joon,"$23,261,580","$23,261,580",100%,-,-
65,The Remains of the Day,"$23,237,911","$23,237,911",100%,-,-
66,The Program,"$23,032,565","$23,032,565",100%,-,-
67,Guilty as Sin,"$22,866,222","$22,866,222",100%,-,-
68,Rudy,"$22,750,363","$22,750,363",100%,-,-
69,Much Ado About Nothing,"$22,549,338","$22,549,338",100%,-,-
70,Nowhere to Run,"$22,189,039","$22,189,039",100%,-,-
71,Like Water for Chocolate,"$21,665,468","$21,665,468",100%,-,-
72,Coneheads,"$21,274,717","$21,274,717",100%,-,-
73,Super Mario Bros.,"$20,915,465","$20,915,465",100%,-,-
74,Another Stakeout,"$20,208,496","$20,208,496",100%,-,-
75,Fire in the Sky,"$19,885,552","$19,885,552",100%,-,-
76,Sniper,"$18,994,653","$18,994,653",100%,-,-
77,Untamed Heart,"$18,898,806","$18,898,806",100%,-,-
78,Geronimo: An American Legend,"$18,635,620","$18,635,620",100%,-,-
79,Posse,"$18,289,763","$18,289,763",100%,-,-
80,CB4,"$17,953,778","$17,953,778",100%,-,-
81,Born Yesterday,"$17,952,857","$17,952,857",100%,-,-
82,A Bronx Tale,"$17,287,898","$17,287,898",100%,-,-
83,Sidekicks,"$17,180,393","$17,180,393",100%,-,-
84,Heart and Souls,"$16,589,540","$16,589,540",100%,-,-
85,Jason Goes to Hell: The Final Friday,"$15,935,068","$15,935,068",100%,-,-
86,Needful Things,"$15,185,672","$15,185,672",100%,-,-
87,Indian Summer,"$14,904,910","$14,904,910",100%,-,-
88,The Vanishing,"$14,543,394","$14,543,394",100%,-,-
89,The Crush,"$13,609,396","$13,609,396",100%,-,-
90,Body of Evidence,"$13,273,595","$13,273,595",100%,-,-
91,True Romance,"$13,088,778","$12,281,551",93.8%,"$807,227",6.2%
92,Man's Best Friend,"$12,974,636","$12,974,636",100%,-,-
93,A Far Off Place,"$12,890,752","$12,890,752",100%,-,-
94,Weekend at Bernie's II,"$12,741,891","$12,741,891",100%,-,-
95,Judgment Night,"$12,526,677","$12,526,677",100%,-,-
96,Life with Mikey,"$12,440,858","$12,440,858",100%,-,-
97,Undercover Blues,"$12,324,660","$12,324,660",100%,-,-
98,Strictly Ballroom,"$11,738,022","$11,738,022",100%,-,-
99,So I Married an Axe Murderer,"$11,585,483","$11,585,483",100%,-,-
100,Army of Darkness,"$11,502,976","$11,502,976",100%,-,-
101,Manhattan Murder Mystery,"$11,330,911","$11,330,911",100%,-,-
102,Who's the Man?,"$11,299,730","$11,299,730",100%,-,-
103,For Love or Money,"$11,146,270","$11,146,270",100%,-,-
104,Mad Dog and Glory,"$11,081,586","$11,081,586",100%,-,-
105,Gettysburg,"$10,769,960","$10,769,960",100%,-,-
106,RoboCop 3,"$10,696,210","$10,696,210",100%,-,-
107,The Dark Half,"$10,611,160","$10,611,160",100%,-,-
108,Look Who's Talking Now,"$10,340,263","$10,340,263",100%,-,-
109,Boiling Point,"$10,058,318","$10,058,318",100%,-,-
110,What's Eating Gilbert Grape,"$10,032,765","$10,032,765",100%,-,-
111,Amos & Andrew,"$9,745,803","$9,745,803",100%,-,-
112,Flesh and Bone,"$9,709,451","$9,709,451",100%,-,-
113,Matinee,"$9,532,895","$9,532,895",100%,-,-
114,We're Back! A Dinosaur's Story,"$9,317,021","$9,317,021",100%,-,-
115,Lost in Yonkers,"$9,285,189","$9,285,189",100%,-,-
116,Leprechaun,"$8,556,940","$8,556,940",100%,-,-
117,Mr. Jones,"$8,345,845","$8,345,845",100%,-,-
118,Aspen Extreme,"$8,041,049","$8,041,049",100%,-,-
119,The Meteor Man,"$8,016,708","$8,016,708",100%,-,-
120,Dazed and Confused,"$7,993,039","$7,993,039",100%,-,-
121,Fatal Instinct,"$7,839,327","$7,839,327",100%,-,-
122,Lorenzo's Oil,"$7,286,388","$7,286,388",100%,-,-
123,Searching for Bobby Fischer,"$7,266,383","$7,266,383",100%,-,-
124,Fearless,"$6,995,302","$6,995,302",100%,-,-
125,Children of the Corn II: The Final Sacrifice,"$6,980,986","$6,980,986",100%,-,-
126,The Wedding Banquet,"$6,933,459","$6,933,459",100%,-,-
127,Fortress,"$6,739,141","$6,739,141",100%,-,-
128,Best of the Best II,"$6,608,687","$6,608,687",100%,-,-
129,Once Upon a Forest,"$6,582,052","$6,582,052",100%,-,-
130,The Real McCoy,"$6,484,246","$6,484,246",100%,-,-
131,The Temp,"$6,419,876","$6,419,876",100%,-,-
132,Six Degrees of Separation,"$6,405,918","$6,405,918",100%,-,-
133,Short Cuts,"$6,110,979","$6,110,979",100%,-,-
134,Farewell My Concubine,"$6,095,491","$5,216,888",85.6%,"$878,603",14.4%
135,The Cemetery Club,"$6,011,745","$6,011,745",100%,-,-
136,Heaven & Earth,"$5,864,949","$5,864,949",100%,-,-
137,Hear No Evil,"$5,679,569","$5,679,569",100%,-,-
138,Swing Kids,"$5,632,086","$5,632,086",100%,-,-
139,Batman: Mask of the Phantasm,"$5,617,391","$5,617,391",100%,-,-
140,Three of Hearts,"$5,495,507","$5,495,507",100%,-,-
141,Orlando,"$5,319,445","$5,319,445",100%,-,-
142,Jack the Bear,"$5,145,823","$5,145,823",100%,-,-
143,Ghost in the Machine,"$5,086,909","$5,086,909",100%,-,-
144,Surf Ninjas,"$4,916,135","$4,916,135",100%,-,-
145,Into the West,"$4,790,801","$4,790,801",100%,-,-
146,"Blood In, Blood Out","$4,496,583","$4,496,583",100%,-,-
147,Mr. Nanny,"$4,348,572","$4,348,572",100%,-,-
148,This Boy's Life,"$4,104,962","$4,104,962",100%,-,-
149,Warlock: The Armageddon,"$3,902,679","$3,902,679",100%,-,-
150,Tom and Jerry: The Movie,"$3,560,469","$3,560,469",100%,-,-
151,Father Hood,"$3,418,141","$3,418,141",100%,-,-
152,My Boyfriend's Back,"$3,335,984","$3,335,984",100%,-,-
153,Screen Two: The Snapper,"$3,323,524","$3,323,524",100%,-,-
154,Happily Ever After,"$3,299,382","$3,299,382",100%,-,-
155,Only the Strong,"$3,283,371","$3,283,371",100%,-,-
156,Splitting Heirs,"$3,246,063","$3,246,063",100%,-,-
157,Mr. Wonderful,"$3,125,424","$3,125,424",100%,-,-
158,Airborne,"$2,850,263","$2,850,263",100%,-,-
159,The Judas Project,"$2,850,135","$2,850,135",100%,-,-
160,Map of the Human Heart,"$2,806,881","$2,806,881",100%,-,-
161,Hexed,"$2,786,807","$2,786,807",100%,-,-
162,Calendar Girl,"$2,570,550","$2,570,550",100%,-,-
163,Son of the Pink Panther,"$2,438,031","$2,438,031",100%,-,-
164,Kalifornia,"$2,395,231","$2,395,231",100%,-,-
165,Rich in Love,"$2,149,866","$2,149,866",100%,-,-
166,The Nutcracker,"$2,119,994","$2,119,994",100%,-,-
167,Screen Two: The Clothes in the Wardrobe,"$2,106,846","$2,106,846",100%,-,-
168,Married to It,"$2,059,832","$2,059,832",100%,-,-
169,El Mariachi,"$2,040,920","$2,040,920",100%,-,-
170,Nemesis,"$2,001,124","$2,001,124",100%,-,-
171,The Story of Qiu Ju,"$1,890,247","$1,890,247",100%,-,-
172,The Night We Never Met,"$1,884,814","$1,884,814",100%,-,-
173,Boxing Helena,"$1,796,389","$1,796,389",100%,-,-
174,Naked,"$1,769,305","$1,769,305",100%,-,-
175,Carnosaur,"$1,753,979","$1,753,979",100%,-,-
176,A Home of Our Own,"$1,677,807","$1,677,807",100%,-,-
177,Josh and S.A.M.,"$1,640,220","$1,640,220",100%,-,-
178,Black Diamond Rush,"$1,634,386","$1,634,386",100%,-,-
179,Wide Sargasso Sea,"$1,614,784","$1,614,784",100%,-,-
180,Un Coeur en Hiver,"$1,605,437","$1,605,437",100%,-,-
181,M. Butterfly,"$1,498,795","$1,498,795",100%,-,-
182,A Dangerous Woman,"$1,497,222","$1,497,222",100%,-,-
183,Ernest Rides Again,"$1,450,029","$1,450,029",100%,-,-
184,Shadow of the Wolf,"$1,434,174","$1,434,174",100%,-,-
185,Three Colors: Blue,"$1,324,974","$1,324,974",100%,-,-
186,Thirty Two Short Films About Glenn Gould,"$1,319,521","$1,319,521",100%,-,-
187,Baraka,"$1,254,237","$1,254,237",100%,-,-
188,King of the Hill,"$1,214,231","$1,214,231",100%,-,-
189,"Olivier, Olivier","$1,154,476","$1,154,476",100%,-,-
190,Excessive Force,"$1,152,117","$1,152,117",100%,-,-
191,Money for Nothing,"$1,039,824","$1,039,824",100%,-,-
192,The Thing Called Love,"$1,029,721","$1,029,721",100%,-,-
193,Love Field,"$1,014,726","$1,014,726",100%,-,-
194,"We Love It!/The Man Who Yelled/The Stain/Billy Nayer/Little Wolf/The Square of Light/Prehistoric Beast/I Think I Was an Alcoholic/The Sandman/Words, Words, Words/Gahan Wilson's Diner","$1,012,881","$1,012,881",100%,-,-
195,Ruby in Paradise,"$1,001,437","$1,001,437",100%,-,-
196,The Stolen Children,"$931,280","$931,280",100%,-,-
197,Knight Moves,"$923,418","$923,418",100%,-,-
198,The War Room,"$901,668","$901,668",100%,-,-
199,Street Knight,"$841,015","$841,015",100%,-,-
200,The Last Days of Chez Nous,"$831,578","$831,578",100%,-,-
