Rank,Release Group,Worldwide,Domestic,%,Foreign,%
67,Belfast,"$48,467,139","$9,250,870",19.1%,"$39,216,269",80.9%
68,Don't Breathe 2,"$47,312,950","$32,712,950",69.1%,"$14,600,000",30.9%
69,My Hero Academia: World Heroes' Mission,"$46,951,862","$12,271,658",26.1%,"$34,680,204",73.9%
70,The French Dispatch,"$46,333,545","$16,124,375",34.8%,"$30,209,170",65.2%
71,Love Will Tear Us Apart,"$45,060,290",-,-,"$45,060,290",100%
72,In the Heights,"$43,975,167","$29,975,167",68.2%,"$14,000,000",31.8%
73,Spirit Untamed,"$42,717,215","$17,716,215",41.5%,"$25,001,000",58.5%
74,Spiral,"$40,618,920","$23,216,862",57.2%,"$17,402,058",42.8%
75,Snake Eyes,"$40,064,325","$28,264,325",70.5%,"$11,800,000",29.5%
76,Tokyo Revengers,"$39,714,073",-,-,"$39,714,073",100%
77,Nightmare Alley,"$39,629,195","$11,338,107",28.6%,"$28,291,088",71.4%
78,Nomadland,"$39,458,207","$3,700,000",9.4%,"$35,758,207",90.6%
79,Resident Evil: Welcome to Raccoon City,"$38,600,612","$17,000,612",44%,"$21,600,000",56%
80,King Richard,"$38,429,285","$15,129,285",39.4%,"$23,300,000",60.6%
81,Arashi Anniversary Tour 5 x 20 Film: Record of Memories,"$38,052,695",-,-,"$38,052,695",100%
82,The Yinyang Master,"$37,690,000",-,-,"$37,690,000",100%
83,Rurouni Kenshin: Final Chapter Part I - The Final,"$36,964,978",-,-,"$36,964,978",100%
84,The Door Lock,"$36,100,000",-,-,"$36,100,000",100%
85,I Fell in Love Like a Flower Bouquet,"$34,975,905",-,-,"$34,975,905",100%
86,Malignant,"$33,991,791","$13,391,791",39.4%,"$20,600,000",60.6%
87,Big Red Envelope,"$32,800,000",-,-,"$32,800,000",100%
88,Licorice Pizza,"$32,358,390","$17,318,007",53.5%,"$15,040,383",46.5%
89,Masquerade Night,"$32,287,400",-,-,"$32,287,400",100%
90,Once Upon a Time in Hong Kong,"$32,218,874",-,-,"$32,218,874",100%
91,Home Sweet Home,"$32,178,677",-,-,"$32,178,677",100%
92,Respect,"$32,121,125","$24,278,399",75.6%,"$7,842,726",24.4%
