Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,The Lion King,"$858,555,561","$312,855,561",36.4%,"$545,700,000",63.6%
2,Forrest Gump,"$329,694,499","$329,694,499",100%,-,-
3,True Lies,"$146,282,411","$146,282,411",100%,-,-
4,The Santa Clause,"$144,833,357","$144,833,357",100%,-,-
5,The Flintstones,"$130,531,208","$130,531,208",100%,-,-
6,Dumb and Dumber,"$127,175,668","$127,175,374",100%,$294,<0.1%
7,Clear and Present Danger,"$122,187,717","$122,187,717",100%,-,-
8,Speed,"$121,248,145","$121,248,145",100%,-,-
9,The Mask,"$119,938,730","$119,938,730",100%,-,-
10,Pulp Fiction,"$107,928,762","$107,928,762",100%,-,-
11,Interview with the Vampire: The Vampire Chronicles,"$105,264,608","$105,264,608",100%,-,-
12,Maverick,"$101,631,272","$101,631,272",100%,-,-
13,Street Fighter,"$99,431,786","$33,423,521",33.6%,"$66,008,265",66.4%
14,The Client,"$92,115,211","$92,115,211",100%,-,-
15,Disclosure,"$83,015,089","$83,015,089",100%,-,-
16,Star Trek: Generations,"$75,671,125","$75,671,125",100%,-,-
17,Ace Ventura: Pet Detective,"$72,217,396","$72,217,396",100%,-,-
18,Stargate,"$71,567,262","$71,567,262",100%,-,-
19,Legends of the Fall,"$66,638,883","$66,638,883",100%,-,-
20,Wolf,"$65,002,597","$65,002,597",100%,-,-
21,The Specialist,"$57,362,582","$57,362,582",100%,-,-
22,Four Weddings and a Funeral,"$52,700,832","$52,700,832",100%,-,-
23,The Little Rascals,"$52,125,282","$52,125,282",100%,-,-
24,Naked Gun 33 1/3: The Final Insult,"$51,132,598","$51,132,598",100%,-,-
25,The Crow,"$50,693,129","$50,693,129",100%,-,-
26,Natural Born Killers,"$50,282,766","$50,282,766",100%,-,-
27,Angels in the Outfield,"$50,236,831","$50,236,831",100%,-,-
28,Little Women,"$50,083,616","$50,083,616",100%,-,-
29,When a Man Loves a Woman,"$50,021,959","$50,021,959",100%,-,-
30,The River Wild,"$46,816,343","$46,816,343",100%,-,-
31,D2: The Mighty Ducks,"$45,610,410","$45,610,410",100%,-,-
32,Timecop,"$44,853,581","$44,853,581",100%,-,-
33,City Slickers II: The Legend of Curly's Gold,"$43,622,150","$43,622,150",100%,-,-
34,The Jungle Book,"$43,229,904","$43,229,904",100%,-,-
35,Beverly Hills Cop III,"$42,614,912","$42,614,912",100%,-,-
36,Nobody's Fool,"$39,491,975","$39,491,975",100%,-,-
37,The Paper,"$38,824,341","$38,824,341",100%,-,-
38,On Deadly Ground,"$38,590,458","$38,590,458",100%,-,-
39,Richie Rich,"$38,087,756","$38,087,756",100%,-,-
40,It Could Happen to You,"$37,939,757","$37,939,757",100%,-,-
41,Junior,"$36,763,355","$36,763,355",100%,-,-
42,Nell,"$33,683,817","$33,683,817",100%,-,-
43,The Shadow,"$32,063,435","$32,063,435",100%,-,-
44,I Love Trouble,"$30,806,194","$30,806,194",100%,-,-
45,Major League II,"$30,626,182","$30,626,182",100%,-,-
46,Blank Check,"$30,577,969","$30,577,969",100%,-,-
47,Blown Away,"$30,156,002","$30,156,002",100%,-,-
48,A Low Down Dirty Shame,"$29,392,418","$29,392,418",100%,-,-
49,In the Army Now,"$28,881,266","$28,881,266",100%,-,-
50,Drop Zone,"$28,735,315","$28,735,315",100%,-,-
51,The Shawshank Redemption,"$28,341,469","$28,341,469",100%,-,-
52,Guarding Tess,"$27,058,304","$27,058,304",100%,-,-
53,I.Q.,"$26,381,221","$26,381,221",100%,-,-
54,My Father the Hero,"$25,479,558","$25,479,558",100%,-,-
55,Wyatt Earp,"$25,052,000","$25,052,000",100%,-,-
56,Quiz Show,"$24,822,619","$24,822,619",100%,-,-
57,Renaissance Man,"$24,332,324","$24,332,324",100%,-,-
58,Blue Chips,"$23,070,663","$23,070,663",100%,-,-
59,Mary Shelley's Frankenstein,"$22,006,296","$22,006,296",100%,-,-
60,Intersection,"$21,355,893","$21,355,893",100%,-,-
61,The Air Up There,"$21,011,318","$21,011,318",100%,-,-
62,Iron Will,"$21,006,361","$21,006,361",100%,-,-
63,Reality Bites,"$20,982,557","$20,982,557",100%,-,-
64,Jason's Lyric,"$20,851,521","$20,851,521",100%,-,-
65,Speechless,"$20,667,959","$20,667,959",100%,-,-
66,The Cowboy Way,"$20,280,016","$20,280,016",100%,-,-
67,"Corrina, Corrina","$20,164,171","$20,164,171",100%,-,-
68,Only You,"$20,059,210","$20,059,210",100%,-,-
69,With Honors,"$20,016,254","$20,016,254",100%,-,-
70,Color of Night,"$19,726,050","$19,726,050",100%,-,-
71,New Nightmare,"$19,721,741","$18,090,181",91.7%,"$1,631,560",8.3%
72,8 Seconds,"$19,623,396","$19,623,396",100%,-,-
73,Léon: The Professional,"$19,501,238","$19,501,238",100%,-,-
74,Little Giants,"$19,306,362","$19,306,362",100%,-,-
75,House Party 3,"$19,281,235","$19,281,235",100%,-,-
76,Getting Even with Dad,"$18,869,594","$18,869,594",100%,-,-
77,Love Affair,"$18,272,894","$18,272,894",100%,-,-
78,Sugar Hill,"$18,225,518","$18,225,518",100%,-,-
79,Milk Money,"$18,137,661","$18,137,661",100%,-,-
80,My Girl 2,"$17,359,799","$17,359,799",100%,-,-
81,Miracle on 34th Street,"$17,320,136","$17,320,136",100%,-,-
82,The War,"$16,928,556","$16,928,556",100%,-,-
83,Baby's Day Out,"$16,827,402","$16,827,402",100%,-,-
84,Lightning Jack,"$16,821,273","$16,821,273",100%,-,-
85,Andre,"$16,820,893","$16,820,893",100%,-,-
86,Blink,"$16,696,219","$16,696,219",100%,-,-
87,Terminal Velocity,"$16,487,349","$16,487,349",100%,-,-
88,Monkey Trouble,"$16,453,258","$16,453,258",100%,-,-
89,Above the Rim,"$16,192,320","$16,192,320",100%,-,-
90,The Getaway,"$16,094,974","$16,094,974",100%,-,-
91,The Next Karate Kid,"$15,876,353","$8,914,777",56.2%,"$6,961,576",43.8%
92,No Escape,"$15,339,030","$15,339,030",100%,-,-
93,Bad Girls,"$15,240,435","$15,240,435",100%,-,-
94,The Madness of King George,"$15,238,689","$15,238,689",100%,-,-
95,Threesome,"$14,815,317","$14,815,317",100%,-,-
96,The Pagemaster,"$13,670,688","$13,670,688",100%,-,-
97,Crooklyn,"$13,642,861","$13,642,861",100%,-,-
98,Bullets Over Broadway,"$13,383,747","$13,383,747",100%,-,-
99,Greedy,"$13,137,484","$13,137,484",100%,-,-
100,Little Big League,"$12,267,790","$12,267,790",100%,-,-
101,3 Ninjas Kick Back,"$11,798,854","$11,798,854",100%,-,-
102,The Ref,"$11,439,193","$11,439,193",100%,-,-
103,Cops and Robbersons,"$11,391,093","$11,391,093",100%,-,-
104,Thumbelina,"$11,373,501","$11,373,501",100%,-,-
105,Ready to Wear,"$11,300,653","$11,300,653",100%,-,-
106,"The Adventures of Priscilla, Queen of the Desert","$11,220,670","$11,220,670",100%,-,-
107,Camp Nowhere,"$10,475,705","$10,475,705",100%,-,-
108,I'll Do Anything,"$10,424,645","$10,424,645",100%,-,-
109,Martin Lawrence: You So Crazy,"$10,184,701","$10,184,701",100%,-,-
110,Lassie,"$9,979,683","$9,979,683",100%,-,-
111,Immortal Beloved,"$9,914,409","$9,914,409",100%,-,-
112,The Swan Princess,"$9,771,658","$9,771,658",100%,-,-
113,Angie,"$9,398,308","$9,398,308",100%,-,-
114,The Inkwell,"$8,880,705","$8,880,705",100%,-,-
115,White Fang 2: Myth of the White Wolf,"$8,878,839","$8,878,839",100%,-,-
116,The Puppet Masters,"$8,647,042","$8,647,042",100%,-,-
117,Fresh,"$8,094,616","$8,094,616",100%,-,-
118,The Nightmare Before Christmas 1994 Re-release,"$8,016,418",-,-,"$8,016,418",100%
119,Blankman,"$7,941,977","$7,941,977",100%,-,-
120,The Chase,"$7,924,955","$7,924,955",100%,-,-
121,Hoop Dreams,"$7,830,611","$7,830,611",100%,-,-
122,Serial Mom,"$7,820,688","$7,820,688",100%,-,-
123,Sirens,"$7,770,731","$7,770,731",100%,-,-
124,Surviving the Game,"$7,727,256","$7,727,256",100%,-,-
125,Clifford,"$7,408,745","$7,408,745",100%,-,-
126,Clean Slate,"$7,355,425","$7,355,425",100%,-,-
127,Eat Drink Man Woman,"$7,294,403","$7,294,403",100%,-,-
128,Barcelona,"$7,266,973","$7,266,973",100%,-,-
129,North,"$7,182,747","$7,182,747",100%,-,-
130,Trial by Jury,"$6,971,777","$6,971,777",100%,-,-
131,Exit to Eden,"$6,841,570","$6,841,570",100%,-,-
