Rank,Release Group,Worldwide,Domestic,%,Foreign,%
132,Mixed Nuts,"$6,821,850","$6,821,850",100%,-,-
133,The Road to Wellville,"$6,562,513","$6,562,513",100%,-,-
134,The House of the Spirits,"$6,265,311","$6,265,311",100%,-,-
135,Widows' Peak,"$6,243,722","$6,243,722",100%,-,-
136,Trapped in Paradise,"$6,017,509","$6,017,509",100%,-,-
137,Ed Wood,"$5,887,457","$5,887,457",100%,-,-
138,The Last Seduction,"$5,842,603","$5,842,603",100%,-,-
139,Airheads,"$5,751,882","$5,751,882",100%,-,-
140,Belle Epoque,"$5,418,216","$5,418,216",100%,-,-
141,Little Buddha,"$4,858,139","$4,858,139",100%,-,-
142,Black Beauty,"$4,630,377","$4,630,377",100%,-,-
143,Wagons East,"$4,412,297","$4,412,297",100%,-,-
144,Brainscan,"$4,352,094","$4,352,094",100%,-,-
145,PCU,"$4,330,020","$4,330,020",100%,-,-
146,Jimmy Hollywood,"$3,783,003","$3,783,003",100%,-,-
147,Cabin Boy,"$3,662,459","$3,662,459",100%,-,-
148,Three Colors: Red,"$3,581,969","$3,581,969",100%,-,-
149,A Simple Twist of Fate,"$3,430,583","$3,430,583",100%,-,-
150,Gunmen,"$3,411,885","$3,411,885",100%,-,-
151,Blue Sky,"$3,359,465","$3,359,465",100%,-,-
152,Squanto: A Warrior's Tale,"$3,342,223","$3,342,223",100%,-,-
153,Romeo Is Bleeding,"$3,275,585","$3,275,585",100%,-,-
154,Mi vida loca,"$3,267,313","$3,267,313",100%,-,-
155,Silent Fall,"$3,180,674","$3,180,674",100%,-,-
156,Clerks,"$3,151,130","$3,151,130",100%,-,-
157,The Favor,"$3,134,381","$3,134,381",100%,-,-
158,Death and the Maiden,"$3,103,716","$3,103,716",100%,-,-
159,Princess Caraboo,"$3,062,530","$3,062,530",100%,-,-
160,Heavenly Creatures,"$3,049,135","$3,049,135",100%,-,-
161,China Moon,"$3,038,499","$3,038,499",100%,-,-
162,The Hudsucker Proxy,"$2,816,518","$2,816,518",100%,-,-
163,The Scout,"$2,694,234","$2,694,234",100%,-,-
164,Red Rock West,"$2,502,551","$2,502,551",100%,-,-
165,Backbeat,"$2,392,589","$2,392,589",100%,-,-
166,Double Dragon,"$2,341,309","$2,341,309",100%,-,-
167,To Live,"$2,332,728","$2,332,728",100%,-,-
168,A Good Man in Africa,"$2,308,390","$2,308,390",100%,-,-
169,Leprechaun 2,"$2,260,622","$2,260,622",100%,-,-
170,The Endless Summer 2,"$2,155,385","$2,155,385",100%,-,-
171,Mrs. Parker and the Vicious Circle,"$2,144,667","$2,144,667",100%,-,-
172,The Princess and the Goblin,"$2,105,078","$2,105,078",100%,-,-
173,Kika,"$2,019,581","$2,019,581",100%,-,-
174,Vertical Reality,"$1,951,429","$1,951,429",100%,-,-
175,Bitter Moon,"$1,862,805","$1,862,805",100%,-,-
176,I Like It Like That,"$1,760,527","$1,760,527",100%,-,-
177,Vanya on 42nd Street,"$1,746,050","$1,746,050",100%,-,-
178,Even Cowgirls Get the Blues,"$1,708,873","$1,708,873",100%,-,-
179,Death Wish: The Face of Death,"$1,702,394","$1,702,394",100%,-,-
180,The Scent of Green Papaya,"$1,700,992","$1,700,992",100%,-,-
181,Safe Passage,"$1,618,282","$1,618,282",100%,-,-
182,Chasers,"$1,596,687","$1,596,687",100%,-,-
183,Being Human,"$1,519,366","$1,519,366",100%,-,-
184,Spanking the Monkey,"$1,359,736","$1,359,736",100%,-,-
185,Radioland Murders,"$1,316,865","$1,316,865",100%,-,-
186,Queen Margot,"$1,292,232","$1,292,232",100%,-,-
187,"Car 54, Where Are You?","$1,238,080","$1,238,080",100%,-,-
188,Three Colors: White,"$1,237,219","$1,237,219",100%,-,-
189,A Million to Juan,"$1,220,842","$1,220,842",100%,-,-
190,"Ciao, Professore!","$1,113,435","$1,113,435",100%,-,-
191,Naked in New York,"$1,038,959","$1,038,959",100%,-,-
192,Cobb,"$1,007,583","$1,007,583",100%,-,-
193,A Man of No Importance,"$920,916","$920,916",100%,-,-
194,Mother's Boys,"$737,548","$737,548",100%,-,-
195,Drop Squad,"$734,693","$734,693",100%,-,-
196,Holy Matrimony,"$713,234","$713,234",100%,-,-
197,Savage Nights,"$662,341","$662,341",100%,-,-
198,Cronos,"$621,392","$621,392",100%,-,-
199,The Advocate,"$602,329","$602,329",100%,-,-
200,Where the Rivers Flow North,"$595,505","$595,505",100%,-,-
