Rank,Release Group,Worldwide,Domestic,%,Foreign,%
125,Tall Tale,"$8,247,627","$8,247,627",100%,-,-
126,Nick of Time,"$8,175,346","$8,175,346",100%,-,-
127,Strange Days,"$7,959,291","$7,959,291",100%,-,-
128,Unstrung Heroes,"$7,929,434","$7,929,434",100%,-,-
129,Bushwhacked,"$7,919,823","$7,919,823",100%,-,-
130,Losing Isaiah,"$7,603,766","$7,603,766",100%,-,-
131,Hackers,"$7,563,728","$7,563,728",100%,-,-
132,The Jerky Boys,"$7,557,877","$7,557,877",100%,-,-
133,The Amazing Panda Adventure,"$7,506,759","$7,506,759",100%,-,-
134,Kids,"$7,412,216","$7,412,216",100%,-,-
135,Three Wishes,"$7,027,517","$7,027,517",100%,-,-
136,Last of the Dogmen,"$7,024,389","$7,024,389",100%,-,-
137,Never Talk to Strangers,"$6,858,261","$6,858,261",100%,-,-
138,Panther,"$6,834,525","$6,834,525",100%,-,-
139,The Hunted,"$6,609,661","$6,609,661",100%,-,-
140,Mighty Aphrodite,"$6,468,498","$6,468,498",100%,-,-
141,The Secret of Roan Inish,"$6,159,269","$6,159,269",100%,-,-
142,Gold Diggers: The Secret of Bear Mountain,"$6,029,091","$6,029,091",100%,-,-
143,The Walking Dead,"$6,014,341","$6,014,341",100%,-,-
144,The Tie That Binds,"$5,830,454","$5,772,529",99%,"$57,925",1%
145,Beyond Rangoon,"$5,750,110","$5,750,110",100%,-,-
146,Before Sunrise,"$5,535,405","$5,535,405",100%,-,-
147,Screen Two: Persuasion,"$5,269,757","$5,269,757",100%,-,-
148,Miami Rhapsody,"$5,221,281","$5,221,281",100%,-,-
149,Top Dog,"$5,093,707","$5,093,707",100%,-,-
150,Angus,"$4,821,759","$4,821,759",100%,-,-
151,National Lampoon's Senior Trip,"$4,686,937","$4,686,937",100%,-,-
152,Four Rooms,"$4,257,354","$4,257,354",100%,-,-
153,Exotica,"$4,221,036","$4,221,036",100%,-,-
154,Priest,"$4,165,845","$4,165,845",100%,-,-
155,Tank Girl,"$4,064,495","$4,064,495",100%,-,-
156,Belle de Jour,"$4,037,017","$4,037,017",100%,-,-
157,Restoration,"$4,005,941","$4,005,941",100%,-,-
158,Fluke,"$3,987,768","$3,987,768",100%,-,-
159,The Pebble and the Penguin,"$3,983,912","$3,983,912",100%,-,-
160,Gordy,"$3,941,146","$3,941,146",100%,-,-
161,White Man's Burden,"$3,734,870","$3,734,870",100%,-,-
162,Born to Be Wild,"$3,730,409","$3,730,409",100%,-,-
163,Bad Company,"$3,674,841","$3,674,841",100%,-,-
164,New Jersey Drive,"$3,565,508","$3,565,508",100%,-,-
165,Jeffrey,"$3,487,767","$3,487,767",100%,-,-
166,The Glass Shield,"$3,291,163","$3,291,163",100%,-,-
167,Carrington,"$3,242,342","$3,242,342",100%,-,-
168,Steal Big Steal Little,"$3,150,170","$3,150,170",100%,-,-
169,Crumb,"$3,041,083","$3,041,083",100%,-,-
170,Unzipped,"$2,875,086","$2,875,086",100%,-,-
171,Othello,"$2,844,379","$2,844,379",100%,-,-
172,The Perez Family,"$2,832,826","$2,832,826",100%,-,-
173,Dr. Jekyll and Ms. Hyde,"$2,763,020","$2,763,020",100%,-,-
174,The Show,"$2,702,578","$2,702,578",100%,-,-
175,Richard III,"$2,684,904","$2,684,904",100%,-,-
176,Magic in the Water,"$2,680,717","$2,680,717",100%,-,-
177,The Cure,"$2,568,425","$2,568,425",100%,-,-
178,Moonlight and Valentino,"$2,484,226","$2,484,226",100%,-,-
179,Jefferson in Paris,"$2,473,668","$2,473,668",100%,-,-
180,The Basketball Diaries,"$2,381,087","$2,381,087",100%,-,-
181,Burnt by the Sun,"$2,302,338","$2,302,338",100%,-,-
182,The Incredibly True Adventure of Two Girls in Love,"$2,210,408","$2,210,408",100%,-,-
183,Wild Bill,"$2,193,982","$2,193,982",100%,-,-
184,Mallrats,"$2,122,561","$2,122,561",100%,-,-
185,A Month by the Lake,"$2,101,087","$2,101,087",100%,-,-
186,Shanghai Triad,"$2,086,101","$2,086,101",100%,-,-
187,Strawberry & Chocolate,"$2,084,187","$2,080,805",99.8%,"$3,382",0.2%
188,Shallow Grave,"$2,079,569","$2,079,569",100%,-,-
189,Endless Winter,"$1,966,454","$1,966,454",100%,-,-
190,The City of Lost Children,"$1,781,465","$1,738,611",97.6%,"$42,854",2.4%
191,The Mangler,"$1,781,383","$1,781,383",100%,-,-
192,Once Were Warriors,"$1,608,570","$1,608,570",100%,-,-
193,Farinelli,"$1,573,411","$1,573,411",100%,-,-
194,The Horseman on the Roof,"$1,320,043","$1,320,043",100%,-,-
195,Blue in the Face,"$1,268,636","$1,268,636",100%,-,-
196,Picture Bride,"$1,238,905","$1,238,905",100%,-,-
197,Destiny Turns on the Radio,"$1,176,982","$1,176,982",100%,-,-
198,La seconda volta,"$1,151,013",-,-,"$1,151,013",100%
199,Mute Witness,"$1,125,910","$1,125,910",100%,-,-
200,Living in Oblivion,"$1,111,790","$1,111,790",100%,-,-
