Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Toy Story,"$244,651,588","$191,796,233",78.4%,"$52,855,355",21.6%
2,Apollo 13,"$223,837,411","$172,071,312",76.9%,"$51,766,099",23.1%
3,Batman Forever,"$184,031,112","$184,031,112",100%,-,-
4,Pocahontas,"$141,579,773","$141,579,773",100%,-,-
5,Ace Ventura: When Nature Calls,"$108,385,533","$108,385,533",100%,-,-
6,GoldenEye,"$106,429,941","$106,429,941",100%,-,-
7,Jumanji,"$100,475,249","$100,475,249",100%,-,-
8,Casper,"$100,328,194","$100,328,194",100%,-,-
9,Se7en,"$100,125,643","$100,125,643",100%,-,-
10,Die Hard with a Vengeance,"$100,012,499","$100,012,499",100%,-,-
11,Crimson Tide,"$91,387,195","$91,387,195",100%,-,-
12,Waterworld,"$88,246,220","$88,246,220",100%,-,-
13,12 Monkeys,"$87,020,996","$57,141,459",65.7%,"$29,879,537",34.3%
14,Dangerous Minds,"$84,919,401","$84,919,401",100%,-,-
15,Mr. Holland's Opus,"$82,569,971","$82,569,971",100%,-,-
16,While You Were Sleeping,"$81,057,016","$81,057,016",100%,-,-
17,Congo,"$81,022,101","$81,022,101",100%,-,-
18,Father of the Bride Part II,"$76,594,107","$76,594,107",100%,-,-
19,Braveheart,"$75,609,945","$75,609,945",100%,-,-
20,Get Shorty,"$72,101,622","$72,101,622",100%,-,-
21,Grumpier Old Men,"$71,518,503","$71,518,503",100%,-,-
22,The Bridges of Madison County,"$71,516,617","$71,516,617",100%,-,-
23,Mortal Kombat,"$70,454,098","$70,454,098",100%,-,-
24,Nine Months,"$69,684,532","$69,684,532",100%,-,-
25,Casino,"$68,972,551","$42,512,375",61.6%,"$26,460,176",38.4%
26,Outbreak,"$67,659,560","$67,659,560",100%,-,-
27,Heat,"$67,436,882","$67,436,818",100%,$64,<0.1%
28,Waiting to Exhale,"$67,052,156","$67,052,156",100%,-,-
29,Bad Boys,"$65,807,024","$65,807,024",100%,-,-
30,Babe,"$63,658,910","$63,658,910",100%,-,-
31,The American President,"$60,079,496","$60,079,496",100%,-,-
32,Species,"$60,074,103","$60,074,103",100%,-,-
33,Clueless,"$56,631,572","$56,631,572",100%,-,-
34,Sabrina,"$53,696,278","$53,672,080",100%,"$24,198",<0.1%
35,Something to Talk About,"$50,865,589","$50,865,589",100%,-,-
36,The Net,"$50,727,965","$50,727,965",100%,-,-
37,Under Siege 2: Dark Territory,"$50,024,083","$50,024,083",100%,-,-
38,A Walk in the Clouds,"$50,008,143","$50,008,143",100%,-,-
39,The Brady Bunch Movie,"$46,576,136","$46,576,136",100%,-,-
40,Sense and Sensibility,"$43,182,776","$43,182,776",100%,-,-
41,Man of the House,"$40,070,995","$40,070,995",100%,-,-
42,Dead Man Walking,"$39,363,635","$39,363,635",100%,-,-
43,French Kiss,"$38,896,854","$38,896,854",100%,-,-
44,Higher Learning,"$38,290,723","$38,290,723",100%,-,-
45,Mighty Morphin Power Rangers: The Movie,"$38,187,431","$38,187,431",100%,-,-
46,First Knight,"$37,600,435","$37,600,435",100%,-,-
47,Just Cause,"$36,853,222","$36,853,222",100%,-,-
48,"To Wong Foo, Thanks for Everything! Julie Newmar","$36,474,193","$36,474,193",100%,-,-
49,The Indian in the Cupboard,"$35,656,131","$35,656,131",100%,-,-
50,Money Train,"$35,431,113","$35,431,113",100%,-,-
51,A Goofy Movie,"$35,348,597","$35,348,597",100%,-,-
52,Judge Dredd,"$34,693,481","$34,693,481",100%,-,-
53,Forget Paris,"$33,177,694","$33,177,694",100%,-,-
54,Tommy Boy,"$32,679,899","$32,679,899",100%,-,-
55,Copycat,"$32,051,917","$32,051,917",100%,-,-
56,Leaving Las Vegas,"$32,029,928","$32,029,928",100%,-,-
57,Rob Roy,"$31,596,911","$31,596,911",100%,-,-
58,Powder,"$30,862,156","$30,862,156",100%,-,-
59,Assassins,"$30,303,072","$30,303,072",100%,-,-
60,Free Willy 2: The Adventure Home,"$30,077,111","$30,077,111",100%,-,-
61,Major Payne,"$29,412,050","$29,412,050",100%,-,-
62,Friday,"$27,467,564","$27,467,564",100%,-,-
63,Now and Then,"$27,112,329","$27,112,329",100%,-,-
64,Houseguest,"$26,325,256","$26,325,256",100%,-,-
65,Billy Madison,"$25,588,734","$25,588,734",100%,-,-
66,Desperado,"$25,405,445","$25,405,445",100%,-,-
67,Operation Dumbo Drop,"$24,670,346","$24,670,346",100%,-,-
68,Dolores Claiborne,"$24,361,867","$24,361,867",100%,-,-
69,Dead Presidents,"$24,147,179","$24,147,179",100%,-,-
70,Virtuosity,"$24,047,675","$24,047,675",100%,-,-
71,Tom and Huck,"$23,920,048","$23,920,048",100%,-,-
72,How to Make an American Quilt,"$23,600,020","$23,600,020",100%,-,-
73,Boys on the Side,"$23,440,188","$23,440,188",100%,-,-
74,Circle of Friends,"$23,389,975","$23,389,975",100%,-,-
75,The Usual Suspects,"$23,341,568","$23,341,568",100%,-,-
76,Don Juan DeMarco,"$22,150,451","$22,150,451",100%,-,-
77,The Postman,"$21,848,932","$21,848,932",100%,-,-
78,To Die For,"$21,284,514","$21,284,514",100%,-,-
79,Tales from the Crypt: Demon Knight,"$21,089,146","$21,089,146",100%,-,-
80,Showgirls,"$20,350,754","$20,350,754",100%,-,-
81,Sudden Death,"$20,350,171","$20,350,171",100%,-,-
82,Vampire in Brooklyn,"$19,751,736","$19,751,736",100%,-,-
83,It Takes Two,"$19,474,589","$19,474,589",100%,-,-
84,Johnny Mnemonic,"$19,075,720","$19,075,720",100%,-,-
85,The Quick and the Dead,"$18,636,537","$18,636,537",100%,-,-
86,The Big Green,"$17,736,619","$17,736,619",100%,-,-
87,Heavyweights,"$17,689,177","$17,689,177",100%,-,-
88,Home for the Holidays,"$17,519,169","$17,519,169",100%,-,-
89,Murder in the First,"$17,381,942","$17,381,942",100%,-,-
90,Viaggi di nozze,"$17,142,208",-,-,"$17,142,208",100%
91,Jury Duty,"$17,014,653","$17,014,653",100%,-,-
92,Devil in a Blue Dress,"$16,140,822","$16,140,822",100%,-,-
93,The Prophecy,"$16,115,878","$16,115,878",100%,-,-
94,Across the Sea of Time,"$16,015,639","$16,015,639",100%,-,-
95,Muriel's Wedding,"$15,482,277","$15,119,639",97.7%,"$362,638",2.3%
96,Mad Love,"$15,453,274","$15,453,274",100%,-,-
97,Halloween: The Curse of Michael Myers,"$15,116,634","$15,116,634",100%,-,-
98,Wings of Courage,"$15,054,636","$15,054,636",100%,-,-
99,Kiss of Death,"$14,942,422","$14,942,422",100%,-,-
100,Candyman: Farewell to the Flesh,"$13,940,383","$13,940,383",100%,-,-
101,Nixon,"$13,681,765","$13,681,765",100%,-,-
102,A Kid in King Arthur's Court,"$13,406,717","$13,406,717",100%,-,-
103,Lord of Illusions,"$13,294,422","$13,294,422",100%,-,-
104,Clockers,"$13,071,518","$13,071,518",100%,-,-
105,Highlander: The Final Dimension,"$12,303,080","$12,303,080",100%,-,-
106,Hideaway,"$12,201,255","$12,201,255",100%,-,-
107,Roommates,"$12,096,881","$12,096,881",100%,-,-
108,Bye Bye Love,"$12,096,673","$12,096,673",100%,-,-
109,Tales from the Hood,"$11,837,928","$11,837,928",100%,-,-
110,Far from Home: The Adventures of Yellow Dog,"$11,642,946","$11,642,946",100%,-,-
111,Fair Game,"$11,534,477","$11,534,477",100%,-,-
112,Balto,"$11,348,324","$11,348,324",100%,-,-
113,My Family,"$11,079,373","$11,079,373",100%,-,-
114,The Englishman Who Went Up a Hill But Came Down a Mountain,"$10,904,930","$10,904,930",100%,-,-
115,Dracula: Dead and Loving It,"$10,772,144","$10,772,144",100%,-,-
116,The Brothers McMullen,"$10,426,506","$10,426,506",100%,-,-
117,The Scarlet Letter,"$10,382,407","$10,382,407",100%,-,-
118,Cutthroat Island,"$10,017,322","$10,017,322",100%,-,-
119,A Little Princess,"$10,015,449","$10,015,449",100%,-,-
120,Jade,"$9,851,610","$9,851,610",100%,-,-
121,The Baby-Sitters Club,"$9,685,976","$9,685,976",100%,-,-
122,Village of the Damned,"$9,418,365","$9,418,365",100%,-,-
123,In the Mouth of Madness,"$8,924,549","$8,924,549",100%,-,-
124,Smoke,"$8,367,636","$8,367,636",100%,-,-
