Rank,Release Group,Worldwide,Domestic,%,Foreign,%
98,Disturbing Behavior,"$17,514,980","$17,514,980",100%,-,-
99,Half Baked,"$17,460,020","$17,460,020",100%,-,-
100,Rushmore,"$17,105,219","$17,105,219",100%,-,-
101,54,"$16,757,163","$16,757,163",100%,-,-
102,A Simple Plan,"$16,316,273","$16,316,273",100%,-,-
103,Dance with Me,"$15,923,122","$15,923,122",100%,-,-
104,Living Out Loud,"$15,610,299","$12,905,901",82.7%,"$2,704,398",17.3%
105,Dead Man on Campus,"$15,064,946","$15,064,946",100%,-,-
106,Twilight,"$15,055,091","$15,055,091",100%,-,-
107,The Wizard of Oz 1998 Re-release,"$14,836,984","$14,836,984",100%,-,-
108,Soldier,"$14,594,226","$14,594,226",100%,-,-
109,Les Misérables,"$14,096,321","$14,096,321",100%,-,-
110,Blues Brothers 2000,"$14,051,384","$14,051,384",100%,-,-
111,Desperate Measures,"$13,806,137","$13,806,137",100%,-,-
112,Hush,"$13,583,690","$13,583,690",100%,-,-
113,Africa's Elephant Kingdom,"$13,485,455","$13,485,455",100%,-,-
114,Black Dog,"$12,951,088","$12,951,088",100%,-,-
115,Senseless,"$12,874,899","$12,874,899",100%,-,-
116,Why Do Fools Fall in Love,"$12,461,773","$12,461,773",100%,-,-
117,Barney's Great Adventure,"$12,218,638","$12,218,638",100%,-,-
118,I'll Be Home for Christmas,"$12,214,338","$12,214,338",100%,-,-
119,Holy Man,"$12,069,719","$12,069,719",100%,-,-
120,Sliding Doors,"$11,841,544","$11,841,544",100%,-,-
121,Deep Rising,"$11,203,026","$11,203,026",100%,-,-
122,Fear and Loathing in Las Vegas,"$10,680,275","$10,680,275",100%,-,-
123,Home Fries,"$10,493,366","$10,493,366",100%,-,-
124,The Newton Boys,"$10,452,012","$10,452,012",100%,-,-
125,Knock Off,"$10,319,915","$10,319,915",100%,-,-
126,I Got the Hook Up,"$10,317,779","$10,317,779",100%,-,-
127,Air Bud: Golden Receiver,"$10,224,116","$10,224,116",100%,-,-
128,Dirty Work,"$10,023,282","$10,023,282",100%,-,-
129,The Red Violin,"$10,019,109","$10,019,109",100%,-,-
130,Very Bad Things,"$9,898,412","$9,898,412",100%,-,-
131,Belly,"$9,639,390","$9,639,390",100%,-,-
132,Wrongfully Accused,"$9,623,329","$9,623,329",100%,-,-
133,The Spanish Prisoner,"$9,584,314","$9,584,314",100%,-,-
134,Ringmaster,"$9,257,103","$9,257,103",100%,-,-
135,Apt Pupil,"$8,863,193","$8,863,193",100%,-,-
136,Return to Paradise,"$8,341,087","$8,341,087",100%,-,-
137,Woo,"$8,165,984","$8,064,972",98.8%,"$101,012",1.2%
138,Firestorm,"$8,165,212","$8,165,212",100%,-,-
139,My Giant,"$8,072,007","$8,072,007",100%,-,-
140,Titanic 2017 Re-release,"$7,647,942","$691,642",9%,"$6,956,300",91%
141,Krippendorf's Tribe,"$7,571,115","$7,571,115",100%,-,-
142,Star Kid,"$7,029,025","$7,029,025",100%,-,-
143,BASEketball,"$7,027,290","$7,027,290",100%,-,-
144,Caught Up,"$6,754,958","$6,754,958",100%,-,-
145,Gone with the Wind 1998 Re-release,"$6,750,112","$6,750,112",100%,-,-
146,Smoke Signals,"$6,745,362","$6,745,362",100%,-,-
147,Gods and Monsters,"$6,451,628","$6,451,628",100%,-,-
148,Affliction,"$6,330,054","$6,330,054",100%,-,-
149,Almost Heroes,"$6,136,856","$6,136,856",100%,-,-
150,Les Boys II,"$5,974,732","$5,974,732",100%,-,-
151,Central Station,"$5,969,553","$5,969,553",100%,-,-
152,The Opposite of Sex,"$5,881,367","$5,881,367",100%,-,-
153,Palmetto,"$5,878,911","$5,878,911",100%,-,-
154,Down in the Delta,"$5,672,903","$5,672,903",100%,-,-
155,Phantoms,"$5,624,282","$5,624,282",100%,-,-
156,Slums of Beverly Hills,"$5,502,773","$5,502,773",100%,-,-
157,Ride,"$5,485,295","$5,485,295",100%,-,-
158,Celebrity,"$5,078,660","$5,078,660",100%,-,-
159,Hilary and Jackie,"$4,912,892","$4,912,892",100%,-,-
160,Your Friends and Neighbors,"$4,714,658","$4,714,658",100%,-,-
161,Little Voice,"$4,611,784","$4,611,784",100%,-,-
162,Dangerous Beauty,"$4,553,271","$4,553,271",100%,-,-
163,Meet the Deedles,"$4,356,216","$4,356,216",100%,-,-
164,Kissing a Fool,"$4,106,588","$4,106,588",100%,-,-
165,The Governess,"$3,719,509","$3,719,509",100%,-,-
166,Major League: Back to the Minors,"$3,572,443","$3,572,443",100%,-,-
167,Next Stop Wonderland,"$3,395,581","$3,395,581",100%,-,-
168,Mrs Dalloway,"$3,309,421","$3,309,421",100%,-,-
169,Pi,"$3,221,152","$3,221,152",100%,-,-
170,The Last Days of Disco,"$3,020,601","$3,020,601",100%,-,-
171,Happiness,"$2,982,011","$2,982,011",100%,-,-
172,Freeriders,"$2,750,064","$2,750,064",100%,-,-
173,The Mighty,"$2,652,246","$2,652,246",100%,-,-
174,Love and Death on Long Island,"$2,581,012","$2,581,012",100%,-,-
175,Buffalo '66,"$2,375,097","$2,375,097",100%,-,-
176,Mark Twain's America in,"$2,297,096","$2,297,096",100%,-,-
177,Dancing at Lughnasa,"$2,287,818","$2,287,818",100%,-,-
178,Hav Plenty,"$2,284,034","$2,284,034",100%,-,-
179,Pecker,"$2,281,761","$2,281,761",100%,-,-
180,Touch of Evil 1998 Re-release,"$2,247,465","$2,247,465",100%,-,-
181,The Impostors,"$2,198,044","$2,198,044",100%,-,-
182,Chinese Box,"$2,178,160","$2,178,160",100%,-,-
183,Tarzan and the Lost City,"$2,172,941","$2,172,941",100%,-,-
184,Wilde,"$2,158,775","$2,158,775",100%,-,-
185,Zero Effect,"$2,087,471","$2,087,471",100%,-,-
186,Billy's Hollywood Screen Kiss,"$2,070,399","$2,070,399",100%,-,-
187,Two Girls and a Guy,"$2,057,193","$2,057,193",100%,-,-
188,The Butcher Boy,"$1,995,911","$1,995,911",100%,-,-
189,High Art,"$1,960,216","$1,960,216",100%,-,-
190,Oscar and Lucinda,"$1,897,404","$1,897,404",100%,-,-
191,Hurlyburly,"$1,798,862","$1,798,862",100%,-,-
192,Clay Pigeons,"$1,794,086","$1,794,086",100%,-,-
193,A Soldier's Daughter Never Cries,"$1,782,005","$1,782,005",100%,-,-
194,Suicide Kings,"$1,740,156","$1,740,156",100%,-,-
195,Live Flesh,"$1,713,459","$1,713,459",100%,-,-
196,The Gingerbread Man,"$1,677,131","$1,677,131",100%,-,-
197,The Celebration,"$1,657,778","$1,656,223",99.9%,"$1,555",<0.1%
198,In God's Hands,"$1,546,414","$1,546,414",100%,-,-
199,Henry Fool,"$1,338,335","$1,338,335",100%,-,-
200,Cousin Bette,"$1,295,194","$1,295,194",100%,-,-
