Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Titanic,"$1,843,478,449","$600,788,188",32.6%,"$1,242,690,261",67.4%
2,Bean,"$251,212,670","$45,319,423",18%,"$205,893,247",82%
3,Men in Black,"$250,690,539","$250,690,539",100%,-,-
4,The Lost World: Jurassic Park,"$229,086,679","$229,086,679",100%,-,-
5,Liar Liar,"$181,410,615","$181,410,615",100%,-,-
6,Air Force One,"$172,956,409","$172,956,409",100%,-,-
7,As Good as It Gets,"$148,478,011","$148,478,011",100%,-,-
8,Good Will Hunting,"$138,433,435","$138,433,435",100%,-,-
9,Star Wars 1997 Special Edition,"$138,257,865","$138,257,865",100%,-,-
10,My Best Friend's Wedding,"$127,120,029","$127,120,029",100%,-,-
11,Tomorrow Never Dies,"$125,304,276","$125,304,276",100%,-,-
12,Face/Off,"$112,276,146","$112,276,146",100%,-,-
13,Batman & Robin,"$107,325,195","$107,325,195",100%,-,-
14,George of the Jungle,"$105,263,257","$105,263,257",100%,-,-
15,Scream 2,"$101,363,301","$101,363,301",100%,-,-
16,Con Air,"$101,117,573","$101,117,573",100%,-,-
17,Contact,"$100,920,329","$100,920,329",100%,-,-
18,Hercules,"$99,112,101","$99,112,101",100%,-,-
19,Flubber,"$92,977,226","$92,977,226",100%,-,-
20,Star Wars: Episode VI - Return of the Jedi 1997 Special Edition,"$89,388,357","$45,470,437",50.9%,"$43,917,920",49.1%
21,Conspiracy Theory,"$75,982,834","$75,982,834",100%,-,-
22,I Know What You Did Last Summer,"$72,586,134","$72,586,134",100%,-,-
23,Star Wars: Episode V - The Empire Strikes Back 1997 Special Edition,"$67,597,694","$67,597,694",100%,-,-
24,Dante's Peak,"$67,127,760","$67,127,760",100%,-,-
25,Anaconda,"$65,885,767","$65,885,767",100%,-,-
26,L.A. Confidential,"$64,616,940","$64,616,940",100%,-,-
27,In & Out,"$63,856,929","$63,856,929",100%,-,-
28,The Fifth Element,"$63,820,180","$63,820,180",100%,-,-
29,Mousehunt,"$61,917,389","$61,917,389",100%,-,-
30,The Saint,"$61,363,304","$61,363,304",100%,-,-
31,The Devil's Advocate,"$60,944,660","$60,944,660",100%,-,-
32,Kiss the Girls,"$60,527,873","$60,527,873",100%,-,-
33,Jungle 2 Jungle,"$59,927,618","$59,927,618",100%,-,-
34,Anastasia,"$58,406,347","$58,406,347",100%,-,-
35,The Jackal,"$54,930,280","$54,930,280",100%,-,-
36,Spawn,"$54,870,175","$54,870,175",100%,-,-
37,Starship Troopers,"$54,814,377","$54,814,377",100%,-,-
38,Austin Powers: International Man of Mystery,"$53,883,989","$53,883,989",100%,-,-
39,Breakdown,"$50,159,144","$50,159,144",100%,-,-
40,Absolute Power,"$50,068,310","$50,068,310",100%,-,-
41,Volcano,"$49,323,468","$49,323,468",100%,-,-
42,Speed 2: Cruise Control,"$48,608,066","$48,608,066",100%,-,-
43,The Game,"$48,323,648","$48,323,648",100%,-,-
44,G.I. Jane,"$48,169,156","$48,169,156",100%,-,-
45,Alien: Resurrection,"$47,795,658","$47,795,658",100%,-,-
46,The Full Monty,"$46,163,699","$45,950,122",99.5%,"$213,577",0.5%
