Rank,Release Group,Worldwide,Domestic,%,Foreign,%
47,The Rainmaker,"$45,916,769","$45,916,769",100%,-,-
48,Cop Land,"$44,862,187","$44,862,187",100%,-,-
49,Nothing to Lose,"$44,480,039","$44,480,039",100%,-,-
50,Amistad,"$44,229,441","$44,229,441",100%,-,-
51,Soul Food,"$43,700,855","$43,700,855",100%,-,-
52,Wag the Dog,"$43,061,945","$43,061,945",100%,-,-
53,The Devil's Own,"$42,868,348","$42,868,348",100%,-,-
54,Donnie Brasco,"$41,909,762","$41,909,762",100%,-,-
55,The Peacemaker,"$41,263,140","$41,263,140",100%,-,-
56,Private Parts,"$41,230,799","$41,230,799",100%,-,-
57,Money Talks,"$40,922,619","$40,922,619",100%,-,-
58,Jackie Brown,"$39,673,162","$39,673,162",100%,-,-
59,Seven Years in Tibet,"$37,957,682","$37,957,682",100%,-,-
60,Vegas Vacation,"$36,400,360","$36,400,360",100%,-,-
61,Mortal Kombat: Annihilation,"$35,927,406","$35,927,406",100%,-,-
62,Selena,"$35,281,794","$35,281,794",100%,-,-
63,Addicted to Love,"$34,673,095","$34,673,095",100%,-,-
64,The Relic,"$33,956,608","$33,956,608",100%,-,-
65,Metro,"$32,000,301","$32,000,301",100%,-,-
66,For Richer or Poorer,"$31,642,995","$31,642,995",100%,-,-
67,Beverly Hills Ninja,"$31,480,418","$31,480,418",100%,-,-
68,Picture Perfect,"$31,407,873","$31,407,873",100%,-,-
69,Home Alone 3,"$30,882,515","$30,882,515",100%,-,-
70,Fools Rush In,"$29,481,428","$29,481,428",100%,-,-
71,Romy and Michele's High School Reunion,"$29,235,353","$29,235,353",100%,-,-
72,Out to Sea,"$29,022,252","$29,022,252",100%,-,-
73,Fathers' Day,"$28,598,376","$28,598,376",100%,-,-
74,Grosse Pointe Blank,"$28,084,357","$28,084,357",100%,-,-
75,The Edge,"$27,873,386","$27,873,386",100%,-,-
76,The Little Mermaid 1997 Re-release,"$27,187,616","$27,187,616",100%,-,-
77,Event Horizon,"$26,673,242","$26,673,242",100%,-,-
78,An American Werewolf in Paris,"$26,570,463","$26,570,463",100%,-,-
79,Boogie Nights,"$26,400,640","$26,400,640",100%,-,-
80,Murder at 1600,"$25,804,707","$25,804,707",100%,-,-
81,Mimic,"$25,480,490","$25,480,490",100%,-,-
82,Midnight in the Garden of Good and Evil,"$25,105,255","$25,105,255",100%,-,-
83,Good Burger,"$23,712,993","$23,712,993",100%,-,-
84,Hoodlum,"$23,499,102","$23,499,102",100%,-,-
85,Air Bud,"$23,144,499","$23,144,499",100%,-,-
86,Red Corner,"$22,459,274","$22,459,274",100%,-,-
87,Mr. Magoo,"$21,437,192","$21,437,192",100%,-,-
88,Booty Call,"$20,050,376","$20,050,376",100%,-,-
89,The Apostle,"$19,868,354","$19,868,354",100%,-,-
90,Gone Fishin',"$19,745,922","$19,745,922",100%,-,-
91,Thrill Ride: The Science of Fun,"$18,798,590","$18,798,590",100%,-,-
92,That Darn Cat,"$18,301,610","$18,301,610",100%,-,-
93,The Postman,"$17,626,234","$17,626,234",100%,-,-
94,That Old Feeling,"$16,574,176","$16,574,176",100%,-,-
95,Fire Down Below,"$16,228,448","$16,228,448",100%,-,-
96,Wishmaster,"$15,738,769","$15,738,769",100%,-,-
97,RocketMan,"$15,448,043","$15,448,043",100%,-,-
98,First Strike,"$15,318,863","$15,318,863",100%,-,-
99,Eve's Bayou,"$14,842,388","$14,842,388",100%,-,-
100,The Sixth Man,"$14,772,788","$14,772,788",100%,-,-
101,Excess Baggage,"$14,515,490","$14,515,490",100%,-,-
102,FairyTale: A True Story,"$14,059,077","$14,059,077",100%,-,-
103,How to Be a Player,"$14,009,368","$14,009,368",100%,-,-
104,The Man Who Knew Too Little,"$13,717,039","$13,717,039",100%,-,-
105,The Wings of the Dove,"$13,692,848","$13,692,848",100%,-,-
106,Trial and Error,"$13,602,831","$13,602,831",100%,-,-
107,Rosewood,"$13,130,349","$13,130,349",100%,-,-
108,Gattaca,"$12,532,777","$12,532,777",100%,-,-
109,Love Jones,"$12,479,335","$12,479,335",100%,-,-
110,Chasing Amy,"$12,021,272","$12,021,272",100%,-,-
111,Turbulence,"$11,538,235","$11,538,235",100%,-,-
112,The Beautician and the Beast,"$11,486,880","$11,486,880",100%,-,-
113,Double Team,"$11,438,337","$11,438,337",100%,-,-
114,Leave It to Beaver,"$10,925,060","$10,925,060",100%,-,-
115,Deconstructing Harry,"$10,686,841","$10,686,841",100%,-,-
116,Mad City,"$10,541,523","$10,541,523",100%,-,-
117,Operation Condor,"$10,405,394","$10,405,394",100%,-,-
118,Buddy,"$10,113,400","$10,113,400",100%,-,-
119,Night Falls on Manhattan,"$9,889,670","$9,889,670",100%,-,-
120,Shall We Dance?,"$9,499,091","$9,499,091",100%,-,-
121,Fierce Creatures,"$9,381,260","$9,381,260",100%,-,-
122,Mrs. Brown,"$9,229,808","$9,229,808",100%,-,-
123,Ulee's Gold,"$9,161,691","$9,161,691",100%,-,-
124,Turbo: A Power Rangers Movie,"$8,363,899","$8,363,899",100%,-,-
125,A Simple Wish,"$8,345,056","$8,345,056",100%,-,-
126,The Ice Storm,"$8,038,061","$8,038,061",100%,-,-
127,A Thousand Acres,"$7,936,780","$7,936,780",100%,-,-
128,Sprung,"$7,575,028","$7,575,028",100%,-,-
129,Wild America,"$7,342,923","$7,342,923",100%,-,-
130,She's So Lovely,"$7,281,450","$7,281,450",100%,-,-
131,B*A*P*S,"$7,246,735","$7,246,735",100%,-,-
132,Zeus and Roxanne,"$7,233,324","$7,233,324",100%,-,-
133,U Turn,"$6,682,098","$6,682,098",100%,-,-
134,Warriors of Virtue,"$6,524,620","$6,524,620",100%,-,-
135,Switchback,"$6,492,660","$6,492,660",100%,-,-
136,Most Wanted,"$6,391,946","$6,391,946",100%,-,-
137,Kull the Conqueror,"$6,112,613","$6,112,613",100%,-,-
138,The Boxer,"$5,980,578","$5,980,578",100%,-,-
139,Inventing the Abbotts,"$5,936,344","$5,936,344",100%,-,-
140,Gang Related,"$5,906,773","$5,906,773",100%,-,-
141,Kolya,"$5,770,254","$5,770,254",100%,-,-
142,One Eight Seven,"$5,727,130","$5,727,130",100%,-,-
143,Kundun,"$5,684,789","$5,684,789",100%,-,-
144,Gridlock'd,"$5,571,205","$5,571,205",100%,-,-
145,Dangerous Ground,"$5,303,931","$5,303,931",100%,-,-
146,Les Boys,"$4,602,341","$4,602,341",100%,-,-
147,McHale's Navy,"$4,529,843","$4,529,843",100%,-,-
148,A Life Less Ordinary,"$4,366,722","$4,366,722",100%,-,-
149,Playing God,"$4,166,918","$4,166,918",100%,-,-
150,Kama Sutra: A Tale of Love,"$4,109,095","$4,109,095",100%,-,-
151,Meet Wally Sparks,"$4,073,582","$4,073,582",100%,-,-
152,Lost Highway,"$3,675,201","$3,675,201",100%,-,-
153,8 Heads in a Duffel Bag,"$3,602,884","$3,602,884",100%,-,-
154,The Pest,"$3,600,616","$3,600,616",100%,-,-
155,Cats Don't Dance,"$3,566,637","$3,566,637",100%,-,-
156,'Til There Was You,"$3,525,125","$3,525,125",100%,-,-
157,Free Willy 3: The Rescue,"$3,446,539","$3,446,539",100%,-,-
158,The MatchMaker,"$3,392,080","$3,392,080",100%,-,-
159,A Smile Like Yours,"$3,330,352","$3,330,352",100%,-,-
160,The Sweet Hereafter,"$3,263,585","$3,263,585",100%,-,-
161,Love! Valour! Compassion!,"$2,977,807","$2,977,807",100%,-,-
162,Waiting for Guffman,"$2,923,982","$2,923,982",100%,-,-
163,In the Company of Men,"$2,804,473","$2,804,473",100%,-,-
164,One Night Stand,"$2,642,983","$2,642,983",100%,-,-
165,Brassed Off,"$2,576,331","$2,576,331",100%,-,-
166,Afterglow,"$2,465,960","$2,465,960",100%,-,-
167,Career Girls,"$2,416,734","$2,416,734",100%,-,-
168,Smilla's Sense of Snow,"$2,372,903","$2,372,903",100%,-,-
169,The Pillow Book,"$2,372,744","$2,372,744",100%,-,-
170,Shadow Conspiracy,"$2,312,463","$2,312,463",100%,-,-
171,Snowriders II,"$2,287,639","$2,287,639",100%,-,-
172,Ma vie en rose,"$2,162,043","$2,162,043",100%,-,-
173,The Daytrippers,"$2,099,677","$2,099,677",100%,-,-
174,Paradise Road,"$2,007,100","$2,007,100",100%,-,-
175,Masterminds,"$1,935,539","$1,935,539",100%,-,-
176,"Kiss Me, Guido","$1,918,497","$1,918,497",100%,-,-
177,Washington Square,"$1,851,761","$1,851,761",100%,-,-
178,Steel,"$1,710,972","$1,710,972",100%,-,-
179,Rhyme & Reason,"$1,608,277","$1,608,277",100%,-,-
180,City of Industry,"$1,568,258","$1,568,258",100%,-,-
181,When the Cat's Away,"$1,474,628","$1,474,628",100%,-,-
182,Ponette,"$1,300,377","$1,300,377",100%,-,-
183,The Godfather 1997 Re-release,"$1,267,490","$1,267,490",100%,-,-
184,Temptress Moon,"$1,100,788","$1,100,788",100%,-,-
185,Blood and Wine,"$1,094,668","$1,094,668",100%,-,-
186,The Tango Lesson,"$1,080,192","$1,080,192",100%,-,-
187,Shiloh,"$1,007,822","$1,007,822",100%,-,-
188,Female Perversions,"$926,954","$926,954",100%,-,-
189,When Night Is Falling,"$919,671","$919,671",100%,-,-
190,Guantanamera,"$903,840","$903,840",100%,-,-
191,"Fast, Cheap & Out of Control","$878,960","$878,960",100%,-,-
192,The Winter Guest,"$870,290","$870,290",100%,-,-
193,Anna Karenina,"$858,553","$858,553",100%,-,-
194,Children of the Revolution,"$838,368","$838,368",100%,-,-
195,Dirty Dancing 1997 Re-release,"$817,925","$507,892",62.1%,"$310,033",37.9%
196,Kiss or Kill,"$796,681","$796,681",100%,-,-
197,Prisoner of the Mountains,"$790,078","$790,078",100%,-,-
198,Box of Moonlight,"$782,641","$782,641",100%,-,-
199,The Van,"$712,095","$712,095",100%,-,-
200,Contempt,"$706,604","$706,604",100%,-,-
