Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Aladdin,"$346,476,295","$217,350,219",62.7%,"$129,126,076",37.3%
2,Home Alone 2: Lost in New York,"$173,585,516","$173,585,516",100%,-,-
3,Batman Returns,"$162,831,698","$162,831,698",100%,-,-
4,Lethal Weapon 3,"$144,731,527","$144,731,527",100%,-,-
5,A Few Good Men,"$141,340,178","$141,340,178",100%,-,-
6,Sister Act,"$139,605,150","$139,605,150",100%,-,-
7,The Bodyguard,"$121,945,720","$121,945,720",100%,-,-
8,Wayne's World,"$121,697,323","$121,697,323",100%,-,-
9,Basic Instinct,"$117,727,224","$117,727,224",100%,-,-
10,A League of Their Own,"$107,533,928","$107,533,928",100%,-,-
11,Unforgiven,"$101,157,447","$101,157,447",100%,-,-
12,The Hand that Rocks the Cradle,"$88,036,683","$88,036,683",100%,-,-
13,Under Siege,"$83,563,139","$83,563,139",100%,-,-
14,Patriot Games,"$83,351,587","$83,351,587",100%,-,-
15,Bram Stoker's Dracula,"$82,522,790","$82,522,790",100%,-,-
16,White Men Can't Jump,"$76,253,806","$76,253,806",100%,-,-
17,The Last of the Mohicans,"$75,505,856","$75,505,856",100%,-,-
18,Boomerang,"$70,052,444","$70,052,444",100%,-,-
19,Scent of a Woman,"$63,095,253","$63,095,253",100%,-,-
20,The Crying Game,"$62,548,947","$62,548,947",100%,-,-
21,Far and Away,"$58,883,840","$58,883,840",100%,-,-
22,"Honey, I Blew Up the Kid","$58,662,452","$58,662,452",100%,-,-
23,HouseSitter,"$58,500,635","$58,500,635",100%,-,-
24,Death Becomes Her,"$58,422,650","$58,422,650",100%,-,-
25,Unlawful Entry,"$57,138,719","$57,138,719",100%,-,-
26,Beethoven,"$57,114,049","$57,114,049",100%,-,-
27,Forever Young,"$55,956,187","$55,956,187",100%,-,-
28,Alien³,"$55,473,545","$55,473,545",100%,-,-
29,My Cousin Vinny,"$52,929,168","$52,929,168",100%,-,-
30,Sneakers,"$51,432,691","$51,432,691",100%,-,-
31,The Mighty Ducks,"$50,752,337","$50,752,337",100%,-,-
32,Wayne's World 2,"$48,198,019","$48,197,805",100%,$214,<0.1%
33,Malcolm X,"$48,169,910","$48,169,910",100%,-,-
34,Single White Female,"$48,017,402","$48,017,402",100%,-,-
35,The Distinguished Gentleman,"$46,666,502","$46,666,502",100%,-,-
36,Medicine Man,"$45,500,797","$45,500,797",100%,-,-
37,Passenger 57,"$44,065,653","$44,065,653",100%,-,-
38,A River Runs Through It,"$43,440,294","$43,440,294",100%,-,-
39,Encino Man,"$40,693,477","$40,693,477",100%,-,-
40,Mo' Money,"$40,227,006","$40,227,006",100%,-,-
41,Universal Soldier,"$36,299,898","$36,299,898",100%,-,-
42,Honeymoon in Vegas,"$35,208,854","$35,208,854",100%,-,-
43,The Lawnmower Man,"$32,100,816","$32,100,816",100%,-,-
44,Sleepwalkers,"$30,524,763","$30,524,763",100%,-,-
45,The Muppet Christmas Carol,"$29,192,434","$27,281,507",93.5%,"$1,910,927",6.5%
46,3 Ninjas,"$29,000,301","$29,000,301",100%,-,-
47,Final Analysis,"$28,590,665","$28,590,665",100%,-,-
48,Stop! Or My Mom Will Shoot,"$28,411,210","$28,411,210",100%,-,-
49,Howards End,"$25,966,555","$25,966,555",100%,-,-
50,Candyman,"$25,792,310","$25,792,310",100%,-,-
51,The Cutting Edge,"$25,105,517","$25,105,517",100%,-,-
52,FernGully: The Last Rainforest,"$24,650,296","$24,650,296",100%,-,-
53,Hoffa,"$24,276,506","$24,276,506",100%,-,-
54,Leap of Faith,"$23,369,283","$23,369,283",100%,-,-
55,Toys,"$23,278,931","$23,278,931",100%,-,-
56,Thunderheart,"$22,660,758","$22,660,758",100%,-,-
57,Captain Ron,"$22,518,097","$22,518,097",100%,-,-
58,The Player,"$21,706,101","$21,706,101",100%,-,-
59,Shining Through,"$21,633,781","$21,633,781",100%,-,-
60,Consenting Adults,"$21,591,728","$21,591,728",100%,-,-
61,Raising Cain,"$21,370,057","$21,370,057",100%,-,-
62,Straight Talk,"$21,202,099","$21,202,099",100%,-,-
63,Kuffs,"$21,142,815","$21,142,815",100%,-,-
64,Mr. Baseball,"$20,883,046","$20,883,046",100%,-,-
65,Juice,"$20,146,880","$20,146,880",100%,-,-
66,Prelude to a Kiss,"$20,006,730","$20,006,730",100%,-,-
67,Hero,"$19,507,345","$19,507,345",100%,-,-
68,Pinocchio 1992 Re-release,"$18,863,559","$18,863,559",100%,-,-
69,Singles,"$18,471,850","$18,471,850",100%,-,-
70,Used People,"$17,957,265","$17,957,265",100%,-,-
71,The Babe,"$17,530,973","$17,530,973",100%,-,-
72,Freejack,"$17,129,026","$17,129,026",100%,-,-
73,Pet Sematary II,"$17,092,453","$17,092,453",100%,-,-
74,Deep Cover,"$16,639,799","$16,639,799",100%,-,-
75,Buffy the Vampire Slayer,"$16,624,456","$16,624,456",100%,-,-
76,Pure Country,"$15,164,458","$15,164,458",100%,-,-
77,Ladybugs,"$14,796,494","$14,796,494",100%,-,-
78,School Ties,"$14,715,067","$14,715,067",100%,-,-
79,City of Joy,"$14,683,921","$14,683,921",100%,-,-
80,Memoirs of an Invisible Man,"$14,358,033","$14,358,033",100%,-,-
81,Rapid Fire,"$14,356,479","$14,356,479",100%,-,-
82,Cool World,"$14,110,589","$14,110,589",100%,-,-
83,Mr. Saturday Night,"$13,351,357","$13,351,357",100%,-,-
84,The Great Mouse Detective 1992 Re-release,"$13,288,756","$13,288,756",100%,-,-
85,Class Act,"$13,272,113","$13,272,113",100%,-,-
86,Trespass,"$13,249,535","$13,249,535",100%,-,-
87,Enchanted April,"$13,200,170","$13,200,170",100%,-,-
88,American Me,"$13,086,430","$13,086,430",100%,-,-
89,Hellraiser III: Hell on Earth,"$12,534,961","$12,534,961",100%,-,-
90,A Stranger Among Us,"$12,282,994","$12,282,994",100%,-,-
91,Rock-A-Doodle,"$11,657,385","$11,657,385",100%,-,-
92,Jennifer 8,"$11,390,479","$11,390,479",100%,-,-
93,Whispers in the Dark,"$11,124,511","$11,124,511",100%,-,-
94,Stay Tuned,"$10,736,401","$10,736,401",100%,-,-
95,Glengarry Glen Ross,"$10,725,228","$10,725,228",100%,-,-
96,Husbands and Wives,"$10,555,619","$10,555,619",100%,-,-
97,Chaplin,"$9,493,259","$9,493,259",100%,-,-
98,Gladiator,"$9,223,441","$9,223,441",100%,-,-
99,White Sands,"$9,011,574","$9,011,574",100%,-,-
100,Once Upon a Crime...,"$8,669,847","$8,669,847",100%,-,-
101,Bebe's Kids,"$8,442,162","$8,442,162",100%,-,-
102,Dr. Giggles,"$8,403,433","$8,403,433",100%,-,-
103,Christopher Columbus: The Discovery,"$8,251,071","$8,251,071",100%,-,-
104,Damage,"$7,532,911","$7,532,911",100%,-,-
105,Mississippi Masala,"$7,308,786","$7,308,786",100%,-,-
106,Sarafina!,"$7,306,242","$7,306,242",100%,-,-
107,1492: Conquest of Paradise,"$7,191,399","$7,191,399",100%,-,-
108,The Mambo Kings,"$6,742,168","$6,742,168",100%,-,-
109,Article 99,"$6,375,979","$6,375,979",100%,-,-
110,Night and the City,"$6,202,756","$6,202,756",100%,-,-
111,Folks!,"$6,132,924","$6,132,924",100%,-,-
112,Indochine,"$5,603,158","$5,603,158",100%,-,-
113,Wind,"$5,519,569","$5,519,569",100%,-,-
114,Of Mice and Men,"$5,471,088","$5,471,088",100%,-,-
115,Split Second,"$5,430,822","$5,430,822",100%,-,-
116,The Lover,"$5,013,090","$4,899,194",97.7%,"$113,896",2.3%
117,Innocent Blood,"$4,943,279","$4,943,279",100%,-,-
118,The Playboys,"$4,906,900","$4,906,900",100%,-,-
119,Diggstown,"$4,836,637","$4,836,637",100%,-,-
120,Passion Fish,"$4,814,619","$4,814,619",100%,-,-
121,Radio Flyer,"$4,651,977","$4,651,977",100%,-,-
122,Blade Runner The Final Cut,"$4,642,280","$3,740,330",80.6%,"$901,950",19.4%
123,Mediterraneo,"$4,532,791","$4,532,791",100%,-,-
124,Bob Roberts,"$4,479,470","$4,479,470",100%,-,-
125,Twin Peaks: Fire Walk with Me,"$4,160,851","$4,160,851",100%,-,-
126,Man Trouble,"$4,096,030","$4,096,030",100%,-,-
127,Peter's Friends,"$4,058,564","$4,058,564",100%,-,-
128,Passed Away,"$4,030,793","$4,030,793",100%,-,-
129,The Gun in Betty Lou's Handbag,"$3,721,911","$3,721,911",100%,-,-
130,Traces of Red,"$3,206,714","$3,206,714",100%,-,-
131,K2,"$3,106,559","$3,106,559",100%,-,-
132,Blame It on the Bellboy,"$3,104,545","$3,104,545",100%,-,-
