Rank,Release Group,Worldwide,Domestic,%,Foreign,%
133,Tous les matins du monde,"$3,089,497","$3,089,497",100%,-,-
134,The Public Eye,"$3,067,917","$3,067,917",100%,-,-
135,CrissCross,"$3,052,738","$3,052,738",100%,-,-
136,This Is My Life,"$2,922,094","$2,922,094",100%,-,-
137,Reservoir Dogs,"$2,832,029","$2,832,029",100%,-,-
138,The Power of One,"$2,827,107","$2,827,107",100%,-,-
139,Newsies,"$2,819,485","$2,819,485",100%,-,-
140,Year of the Comet,"$2,791,515","$2,791,515",100%,-,-
141,Shadows and Fog,"$2,735,731","$2,735,731",100%,-,-
142,Raise the Red Lantern,"$2,603,061","$2,603,061",100%,-,-
143,Aces: Iron Eagle III,"$2,517,600","$2,517,600",100%,-,-
144,Flirting,"$2,415,396","$2,415,396",100%,-,-
145,Love Crimes,"$2,287,928","$2,287,928",100%,-,-
146,Noises Off...,"$2,280,148","$2,280,148",100%,-,-
147,A Brief History of Time,"$2,279,692","$2,279,692",100%,-,-
148,Mom and Dad Save the World,"$2,034,470","$2,034,470",100%,-,-
149,Gate 2: The Trespassers,"$2,032,973","$2,032,973",100%,-,-
150,Bad Lieutenant,"$2,019,469","$2,000,022",99%,"$19,447",1%
151,Night on Earth,"$2,015,810","$2,015,810",100%,-,-
152,Poison Ivy,"$1,829,804","$1,829,804",100%,-,-
153,Delicatessen,"$1,794,187","$1,794,187",100%,-,-
154,The Waterdance,"$1,723,319","$1,723,319",100%,-,-
155,Casablanca 1992 Re-release,"$1,719,913","$1,719,913",100%,-,-
156,Out on a Limb,"$1,659,542","$1,659,542",100%,-,-
157,Daughters of the Dust,"$1,642,436","$1,642,436",100%,-,-
158,Zebrahead,"$1,557,771","$1,557,771",100%,-,-
159,One False Move,"$1,543,112","$1,543,112",100%,-,-
160,A Midnight Clear,"$1,526,697","$1,526,697",100%,-,-
161,Leaving Normal,"$1,514,114","$1,514,114",100%,-,-
162,Where Angels Fear to Tread,"$1,403,033","$1,403,033",100%,-,-
163,South Central,"$1,373,196","$1,373,196",100%,-,-
164,Little Nemo: Adventures in Slumberland,"$1,368,000","$1,368,000",100%,-,-
165,Gas Food Lodging,"$1,342,613","$1,342,613",100%,-,-
166,Brother's Keeper,"$1,305,915","$1,305,915",100%,-,-
167,Spike & Mike's Festival of Animation Volume 1,"$1,268,529","$1,268,529",100%,-,-
168,The Best Intentions,"$1,253,106","$1,253,106",100%,-,-
169,Toto the Hero,"$1,228,153","$1,228,153",100%,-,-
170,The Hairdresser's Husband,"$1,217,084","$1,217,084",100%,-,-
171,Freddie as F.R.O.7.,"$1,119,368","$1,119,368",100%,-,-
172,Mistress,"$1,102,469","$1,102,469",100%,-,-
173,Waterland,"$1,100,218","$1,100,218",100%,-,-
174,Steeper & Deeper,"$1,076,685","$1,076,685",100%,-,-
175,Light Sleeper,"$1,055,987","$1,050,861",99.5%,"$5,126",0.5%
176,Europa,"$1,007,001","$1,007,001",100%,-,-
177,35 Up,"$922,872","$922,872",100%,-,-
178,Ruby,"$919,286","$919,286",100%,-,-
179,Brain Donors,"$918,239","$918,239",100%,-,-
180,Rampage,"$796,368","$796,368",100%,-,-
181,Cabeza de Vaca,"$789,127","$789,127",100%,-,-
182,Turtle Beach,"$778,535","$778,535",100%,-,-
183,Love Potion No. 9,"$754,935","$754,935",100%,-,-
184,Edward II,"$694,438","$694,438",100%,-,-
185,The Living End,"$692,585","$692,585",100%,-,-
186,Johnny Stecchino,"$626,057","$626,057",100%,-,-
187,Wild Orchid II: Two Shades of Blue,"$573,904","$573,904",100%,-,-
188,Incident at Oglala,"$536,848","$536,848",100%,-,-
189,Proof,"$524,668","$524,668",100%,-,-
190,Voyager,"$516,517","$516,517",100%,-,-
191,Crossing the Bridge,"$479,676","$479,676",100%,-,-
192,Danzón,"$450,501","$450,501",100%,-,-
193,Storyville,"$422,503","$422,503",100%,-,-
194,The Adjuster,"$396,573","$396,573",100%,-,-
195,Where the Day Takes You,"$390,152","$390,152",100%,-,-
196,Close to Eden,"$377,832","$377,832",100%,-,-
197,Monster in a Box,"$311,245","$311,245",100%,-,-
198,The Panama Deception,"$309,596","$309,596",100%,-,-
199,Hard Promises,"$306,319","$306,319",100%,-,-
200,Becoming Colette,"$272,931","$272,931",100%,-,-
