Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Independence Day,"$306,169,268","$306,169,268",100%,-,-
2,Twister,"$241,721,524","$241,721,524",100%,-,-
3,The Heat,"$229,930,771","$159,582,188",69.4%,"$70,348,583",30.6%
4,Mission: Impossible,"$180,981,856","$180,981,856",100%,-,-
5,Jerry Maguire,"$153,952,592","$153,952,592",100%,-,-
6,Ransom,"$136,492,681","$136,492,681",100%,-,-
7,101 Dalmatians,"$136,189,294","$136,189,294",100%,-,-
8,The Rock,"$134,069,511","$134,069,511",100%,-,-
9,The Nutty Professor,"$128,814,019","$128,814,019",100%,-,-
10,The Birdcage,"$124,060,553","$124,060,553",100%,-,-
11,A Time to Kill,"$108,766,007","$108,766,007",100%,-,-
12,The First Wives Club,"$105,489,203","$105,489,203",100%,-,-
13,Phenomenon,"$104,636,382","$104,636,382",100%,-,-
14,Scream,"$103,046,663","$103,046,663",100%,-,-
15,Eraser,"$101,295,562","$101,295,562",100%,-,-
16,The Hunchback of Notre Dame,"$100,138,851","$100,138,851",100%,-,-
17,Michael,"$95,318,203","$95,318,203",100%,-,-
18,Star Trek: First Contact,"$92,027,888","$92,027,888",100%,-,-
19,Space Jam,"$90,418,342","$90,418,342",100%,-,-
20,The English Patient,"$78,676,425","$78,676,425",100%,-,-
21,Broken Arrow,"$70,770,147","$70,770,147",100%,-,-
22,Evita,"$68,265,837","$50,047,179",73.3%,"$18,218,658",26.7%
23,Beavis and Butt-Head Do America,"$63,118,386","$63,118,386",100%,-,-
24,Jingle All the Way,"$60,592,389","$60,592,389",100%,-,-
25,The Cable Guy,"$60,240,295","$60,240,295",100%,-,-
26,Courage Under Fire,"$59,031,057","$59,031,057",100%,-,-
27,Jack,"$58,620,973","$58,620,973",100%,-,-
28,Executive Decision,"$56,569,216","$56,569,216",100%,-,-
29,Primal Fear,"$56,116,183","$56,116,183",100%,-,-
30,Tin Cup,"$53,854,588","$53,854,588",100%,-,-
31,Sleepers,"$53,315,285","$53,315,285",100%,-,-
32,DragonHeart,"$51,367,375","$51,367,375",100%,-,-
33,Up Close & Personal,"$51,088,705","$51,088,705",100%,-,-
34,The Preacher's Wife,"$48,102,795","$48,102,795",100%,-,-
35,Romeo + Juliet,"$46,351,345","$46,351,345",100%,-,-
36,One Fine Day,"$46,151,454","$46,151,454",100%,-,-
37,The Mirror Has Two Faces,"$41,083,864","$41,083,864",100%,-,-
38,Happy Gilmore,"$38,824,099","$38,824,099",100%,-,-
39,The Ghost and the Darkness,"$38,619,405","$38,619,405",100%,-,-
40,Mars Attacks!,"$37,771,017","$37,771,017",100%,-,-
41,Set It Off,"$36,461,139","$36,461,139",100%,-,-
42,Shine,"$35,999,081","$35,892,330",99.7%,"$106,751",0.3%
43,The Truth About Cats & Dogs,"$34,861,807","$34,861,807",100%,-,-
44,A Thin Line Between Love and Hate,"$34,767,836","$34,767,836",100%,-,-
45,Muppet Treasure Island,"$34,327,391","$34,327,391",100%,-,-
46,Matilda,"$33,459,416","$33,459,416",100%,-,-
47,The Long Kiss Goodnight,"$33,447,612","$33,447,612",100%,-,-
48,Striptease,"$33,109,743","$33,109,743",100%,-,-
49,Daylight,"$33,023,469","$33,023,469",100%,-,-
50,Homeward Bound II: Lost in San Francisco,"$32,772,492","$32,772,492",100%,-,-
51,Black Sheep,"$32,417,995","$32,417,995",100%,-,-
52,Rumble in the Bronx,"$32,392,047","$32,392,047",100%,-,-
53,Eddie,"$31,387,164","$31,387,164",100%,-,-
54,Sgt. Bilko,"$30,356,793","$30,356,793",100%,-,-
55,James and the Giant Peach,"$28,946,127","$28,946,127",100%,-,-
56,The Island of Dr. Moreau,"$27,663,982","$27,663,982",100%,-,-
57,Spy Hard,"$26,960,191","$26,960,191",100%,-,-
58,Eye for an Eye,"$26,877,589","$26,877,589",100%,-,-
59,Harriet the Spy,"$26,570,048","$26,570,048",100%,-,-
60,First Kid,"$26,491,793","$26,491,793",100%,-,-
61,That Thing You Do!,"$25,857,416","$25,857,416",100%,-,-
62,From Dusk Till Dawn,"$25,836,684","$25,836,616",100%,$68,<0.1%
63,Down Periscope,"$25,785,603","$25,785,603",100%,-,-
64,Escape from L.A.,"$25,477,365","$25,477,365",100%,-,-
65,Fly Away Home,"$25,143,818","$25,143,818",100%,-,-
66,Kingpin,"$25,023,434","$25,023,434",100%,-,-
67,The Craft,"$24,819,936","$24,819,936",100%,-,-
68,Fargo,"$24,611,975","$24,611,975",100%,-,-
69,Sling Blade,"$24,444,121","$24,444,121",100%,-,-
70,D3: The Mighty Ducks,"$22,955,097","$22,955,097",100%,-,-
71,The Juror,"$22,754,725","$22,754,725",100%,-,-
72,My Fellow Americans,"$22,313,201","$22,313,201",100%,-,-
73,Emma,"$22,231,658","$22,231,658",100%,-,-
74,The Quest,"$21,686,547","$21,686,547",100%,-,-
75,Bulletproof,"$21,576,954","$21,576,954",100%,-,-
76,A Very Brady Sequel,"$21,440,752","$21,440,752",100%,-,-
77,High School High,"$21,302,121","$21,302,121",100%,-,-
78,Chain Reaction,"$21,226,204","$21,226,204",100%,-,-
79,Multiplicity,"$21,075,014","$21,075,014",100%,-,-
80,Oliver & Company 1996 Re-release,"$20,872,291","$20,872,291",100%,-,-
81,Fear,"$20,831,000","$20,831,000",100%,-,-
82,The Glimmer Man,"$20,351,264","$20,351,264",100%,-,-
83,City Hall,"$20,340,204","$20,340,204",100%,-,-
84,The People vs. Larry Flynt,"$20,300,385","$20,300,385",100%,-,-
85,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"$20,109,115","$20,109,115",100%,-,-
86,Flipper,"$20,080,020","$20,080,020",100%,-,-
87,Mother,"$19,145,198","$19,145,198",100%,-,-
88,Bed of Roses,"$19,030,691","$19,030,691",100%,-,-
89,Kazaam,"$18,937,262","$18,937,262",100%,-,-
90,The Fan,"$18,626,419","$18,626,419",100%,-,-
91,Last Man Standing,"$18,115,927","$18,115,927",100%,-,-
92,The Crow: City of Angels,"$17,917,287","$17,917,287",100%,-,-
93,Extreme Measures,"$17,380,126","$17,380,126",100%,-,-
94,The Phantom,"$17,323,326","$17,323,326",100%,-,-
95,Fled,"$17,193,231","$17,193,231",100%,-,-
96,Diabolique,"$17,100,266","$17,100,266",100%,-,-
97,The Frighteners,"$16,759,216","$16,759,216",100%,-,-
98,Trainspotting,"$16,491,080","$16,491,080",100%,-,-
99,Supercop,"$16,270,600","$16,270,600",100%,-,-
100,Thinner,"$15,315,484","$15,315,484",100%,-,-
101,The Adventures of Pinocchio,"$15,094,530","$15,094,530",100%,-,-
102,The Substitute,"$14,818,176","$14,818,176",100%,-,-
