Rank,Release Group,Worldwide,Domestic,%,Foreign,%
103,Flirting with Disaster,"$14,702,438","$14,702,438",100%,-,-
104,The Chamber,"$14,551,359","$14,551,359",100%,-,-
105,Maximum Risk,"$14,502,483","$14,502,483",100%,-,-
106,In Love and War,"$14,481,231","$14,481,231",100%,-,-
107,The Arrival,"$14,063,331","$14,063,331",100%,-,-
108,Bio-Dome,"$13,427,615","$13,427,615",100%,-,-
109,Secrets & Lies,"$13,417,292","$13,417,292",100%,-,-
110,Ghosts of Mississippi,"$13,323,144","$13,323,144",100%,-,-
111,The Associate,"$12,844,057","$12,844,057",100%,-,-
112,Mr. Wrong,"$12,825,141","$12,825,141",100%,-,-
113,Marvin's Room,"$12,803,305","$12,803,305",100%,-,-
114,The Evening Star,"$12,767,815","$12,767,815",100%,-,-
115,The Spitfire Grill,"$12,658,486","$12,658,486",100%,-,-
116,Lone Star,"$12,408,986","$12,408,986",100%,-,-
117,Big Night,"$12,008,376","$12,008,376",100%,-,-
118,Alaska,"$11,829,959","$11,829,959",100%,-,-
119,Mulholland Falls,"$11,526,099","$11,526,099",100%,-,-
120,2 Days in the Valley,"$11,132,210","$11,132,210",100%,-,-
121,Michael Collins,"$11,092,559","$11,092,559",100%,-,-
122,Two If by Sea,"$10,658,278","$10,658,278",100%,-,-
123,Beautiful Girls,"$10,597,759","$10,597,759",100%,-,-
124,White Squall,"$10,292,300","$10,292,300",100%,-,-
125,Sunset Park,"$10,163,782","$10,163,782",100%,-,-
126,A Family Thing,"$10,125,417","$10,125,417",100%,-,-
127,Mrs. Winterbourne,"$10,082,005","$10,082,005",100%,-,-
128,Dunston Checks In,"$9,871,065","$9,871,065",100%,-,-
129,Everyone Says I Love You,"$9,759,200","$9,759,200",100%,-,-
130,She's the One,"$9,538,948","$9,538,948",100%,-,-
131,Hellraiser: Bloodline,"$9,336,886","$9,336,886",100%,-,-
132,Celtic Pride,"$9,255,027","$9,255,027",100%,-,-
133,Before and After,"$8,797,839","$8,797,839",100%,-,-
134,All Dogs Go to Heaven 2,"$8,620,678","$8,620,678",100%,-,-
135,The Rich Man's Wife,"$8,543,587","$8,543,587",100%,-,-
136,Larger Than Life,"$8,315,693","$8,315,693",100%,-,-
137,The Great White Hype,"$8,008,255","$8,008,255",100%,-,-
138,The Crucible,"$7,343,114","$7,343,114",100%,-,-
139,Dear God,"$7,138,523","$7,138,523",100%,-,-
140,House Arrest,"$7,032,782","$7,032,782",100%,-,-
141,Last Dance,"$5,939,449","$5,939,449",100%,-,-
142,Bordello of Blood,"$5,781,045","$5,781,045",100%,-,-
143,Get on the Bus,"$5,754,249","$5,754,249",100%,-,-
144,Screamers,"$5,711,695","$5,711,695",100%,-,-
145,Mary Reilly,"$5,707,094","$5,707,094",100%,-,-
146,Cold Comfort Farm,"$5,682,429","$5,682,429",100%,-,-
147,The Pallbearer,"$5,656,388","$5,656,388",100%,-,-
148,Jane Eyre,"$5,200,601","$5,200,601",100%,-,-
149,Solo,"$5,107,669","$5,107,669",100%,-,-
150,Heaven's Prisoners,"$5,009,305","$5,009,305",100%,-,-
151,Girl 6,"$4,939,939","$4,939,939",100%,-,-
152,Stealing Beauty,"$4,762,310","$4,722,310",99.2%,"$40,000",0.8%
153,Hamlet,"$4,739,189","$4,708,156",99.3%,"$31,033",0.7%
154,Joe's Apartment,"$4,619,014","$4,619,014",100%,-,-
155,Welcome to the Dollhouse,"$4,569,019","$4,569,019",100%,-,-
156,Swingers,"$4,555,020","$4,555,020",100%,-,-
157,Ed,"$4,422,380","$4,422,380",100%,-,-
158,Bogus,"$4,357,406","$4,357,406",100%,-,-
159,Antonia's Line,"$4,249,321","$4,228,275",99.5%,"$21,046",0.5%
160,To Gillian on Her 37th Birthday,"$4,189,233","$4,189,233",100%,-,-
161,Breaking the Waves,"$3,803,298","$3,803,298",100%,-,-
162,Bound,"$3,802,260","$3,802,260",100%,-,-
163,Barb Wire,"$3,793,614","$3,793,614",100%,-,-
164,Original Gangstas,"$3,718,087","$3,718,087",100%,-,-
165,The Portrait of a Lady,"$3,692,836","$3,692,836",100%,-,-
166,The Trigger Effect,"$3,622,979","$3,622,979",100%,-,-
167,Moll Flanders,"$3,486,957","$3,486,957",100%,-,-
168,Angels and Insects,"$3,414,301","$3,414,301",100%,-,-
169,Carpool,"$3,325,651","$3,325,651",100%,-,-
170,Feeling Minnesota,"$3,124,440","$3,124,440",100%,-,-
171,Basquiat,"$3,011,195","$3,011,195",100%,-,-
172,Unforgettable,"$2,821,671","$2,821,671",100%,-,-
173,When We Were Kings,"$2,789,985","$2,789,985",100%,-,-
174,Crash,"$2,664,812","$2,664,812",100%,-,-
175,Kids in the Hall: Brain Candy,"$2,654,308","$2,654,308",100%,-,-
176,The Stupids,"$2,491,989","$2,491,989",100%,-,-
177,If Lucy Fell,"$2,420,162","$2,420,162",100%,-,-
178,Lawnmower Man 2: Beyond Cyberspace,"$2,409,225","$2,409,225",100%,-,-
179,Once Upon a Time... When We Were Colored,"$2,291,255","$2,291,255",100%,-,-
180,Palermo-Milan One Way,"$2,269,305",-,-,"$2,269,305",100%
181,Faithful,"$2,104,439","$2,104,439",100%,-,-
182,Snowriders,"$2,068,490","$2,068,490",100%,-,-
183,Big Bully,"$2,042,530","$2,042,530",100%,-,-
184,Surviving Picasso,"$2,021,348","$2,021,348",100%,-,-
185,Ridicule,"$1,979,768","$1,979,768",100%,-,-
186,Vertigo 1996 Restored 70mm,"$1,967,552","$1,967,552",100%,-,-
187,Race the Sun,"$1,945,552","$1,945,552",100%,-,-
188,I Shot Andy Warhol,"$1,875,527","$1,875,527",100%,-,-
189,Beautiful Thing,"$1,548,120","$1,548,120",100%,-,-
190,Microcosmos,"$1,433,210","$1,433,210",100%,-,-
191,Looking for Richard,"$1,408,575","$1,408,575",100%,-,-
192,The Celluloid Closet,"$1,400,591","$1,400,591",100%,-,-
193,Phat Beach,"$1,383,553","$1,383,553",100%,-,-
194,Kansas City,"$1,356,329","$1,356,329",100%,-,-
195,Nueba Yol 3: Bajo la nueva ley,"$1,354,652","$1,354,652",100%,-,-
196,Anne Frank Remembered,"$1,310,200","$1,310,200",100%,-,-
197,Walking and Talking,"$1,287,480","$1,287,480",100%,-,-
198,The Funeral,"$1,227,324","$1,227,324",100%,-,-
199,Two Much,"$1,141,556","$1,141,556",100%,-,-
200,Bad Moon,"$1,055,525","$1,055,525",100%,-,-
